Date,Part Number,Chnaged Quantity
2021/04/23,29201117,3
,JZ401039,1
,GF191006,2
,DH161317,1
,JK730322,1
,AA171004,1
,GF161058,1
,AL201051,2
,DB111007,-1
,DD101325,-1
,DD101407,-1
,DD111018,-4
,DD111048,-1
,DD121181,-3
,DF181092,-1
,DG111008,-1
,DG141019,-3
,DH101006,-1
,DH101016,-3
,DH101033,-4
,DH101050,-2
,DH101154,-5
,DH101188,-2
,DH101195,-1
,DH101373,-1
,DH101520,-3
,DH101557,-1
,DH101864,-1
,DH102210,-1
,DH102211,-1
,DH111012,-1
,DH111015,-1
,DH161194,-1
,DH171014,-1
,DJ101004,-1
,DJ101012,-2
,DJ101064,-1
,DJ121030,-1
,DJ151071,-2
,DJ181087,-1
,DJ181110,-1
,DJ191061,-1
,DJ191081,-1
,DJ201102,-1
,DJ221003,-1
,DJ221004,-1
,DK101380,-1
,DK101565,-1
,DK101569,-1
,DK101733,-1
,DK151085,-1
,DK201078,-1
,DL191013,-1
,DM101139,-3
,DM101140,-4
,DP101107,-1
,DP161102,-1
,DS101036,-5
,DS101046,-2
,DS101072,-3
,DS101096,-1
,DS101251,-1
,DS101319,-1
,DS121137,-1
,DS191001,-1
,DS201025,-1
,DU101045,-1
,DU101218,-2
,DU181031,-1
,DU181032,-1
,DU191003,-2
,DU191006,-2
,DU191030,-1
,DU191045,-2
,DU201008,-1
,DU201010,-1
,DX121010,-1
,DX191001,-1
,DZ191004,-1
,DZ191014,-2
,JA351609,-1
,JA351610,-1
,JA511028,-1
,JA521017,-1
,JA541212,-5
,JB181403,-1
,JB511018,-1
,JC101034,-1
,JD161200,-1
,JD161201,-1
,JD511008,-2
,JD511010,-4
,JD521002,-3
,JE351005,-1
,JE511038,-1
,JF181402,-1
,JG171802,-1
,JG551447,-2
,JL181008,-1
,JL511010,-1
,JL561409,-1
,JN122000,-1
,JN141002,-1
,JN351604,-2
,JN521001,-3
,JZ161203,-1
,JZ161207,-1
,JZ401013,-1
,JZ511016,-1
,JZ511203,-1
,JZ581011,-1
,KPBB6302,-1
,KPBC6004,-1
,PA151014,-1
,PA181281,-1
,SVA0017,-1
,SVA0022B,-1
,JD131810,-1
