Display Name                              ,# Products,Child Categories                                 ,Complete Name                             ,Costing Method,Created by   ,Created on         ,Expense Account,External ID                             ,Force Removal Strategy,Income Account      ,Inventory Valuation,Last Modified on   ,Last Updated by,Last Updated on    ,Name         ,Parent Category               ,Parent Path   ,Putaway Rules,Routes,Stock Input Account            ,Stock Journal      ,Stock Output Account            ,Stock Valuation Account,Total routes
                                          ,          ,All / Saleable / PoS / Blower                    ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / BlowerUnit                ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / BoardSeal                 ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Bolt                      ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Bonnet                    ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Booster                   ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Boot                      ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Boss-St.Wheel             ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Box                       ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Bracket                   ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Brake                     ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / BrakeFluid                ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Breaker                   ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Brush                     ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / BufferShield              ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Bulb                      ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Bumper                    ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Bush                      ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / BushKit                   ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / BushStrg                  ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
