Part Number,Quantity,Unit Price,Notes
24121065,18,140,
24121060,3,630,
JA581236,32,40,
AA121214,14,240,
36AA4044,2,1080,
24121368,1,850,
24121072,1,240,
36AF0008,9,230,
AB121024,3,70,
24121066,15,920,
36AA4013,1,1920,
AB121023,1,340,
36AA4012,3,1730,
JN581203,2,420,
24121028,5,40,
24121075,2,1310,
24121064,2,90,
JB541201,5,65,
AB121028,19,150,
AA121187,5,320,
JB581237,2,110,
JZ581216,1,240,
36PA0186,2,480,
36AA4082,2,1700,
36JK0019,9,360,
DH121093,9,1150,
DJ121045,2,100,
JN581212,3,850,
GF121056,4,1900,
36DS1202,1,880,
36JZ0031,1,2180,
JA561208,1,35,
36PA0125,1,2220,
36DU1202,1,300,
39104319,1,140,
39104119,36,120,
39104619,115,90,
39186919,1,130,
39191719,100,160,
39213319,44,120,
39219019,38,120,
DS101059,33,120,
24191019,1,130,
DH101125,3,130,
AN131022,1,150,
AA101209,2,190,
EC401030,12,960,
JC201009,2,1830,
DK201043,1,2500,
AN101190,17,720,
AA121006,8,190,
AA101261,5,1340,
AE101016K,45,1800,
AE101016,4,330,
AA201041,22,290,
31201081,1,320,
AF201146,1,800,
AB181017,5,110,
07181009,2,190,
22181058,6,230,
22180219,4,90,
DG141019,15,120,
36AA4018,4,590,
AP111054,7,420,
AA111086,4,150,
24111100,1,4780,
AF201248,1,6600,
39171519,162,80,
39104219,55,140,
39108019,104,120,
PA351202,2,1190,
DF111033,2,1100,
DS111035,7,1150,
DH111111,9,920,
JA351204,1,1550,
TE006302,2,560,
PF401417,4,1340,
JL401405,2,3310,
DZ201044,2,940,
PD401401,1,2700,
JB401401,3,1940,
DU201018,1,930,
DF201053,2,2170,
DS201033,3,2180,
JH401400,4,2320,
JF401401,1,4850,
JH401402,1,430,
JL401409,1,4020,
DK111072,1,8650,
PF351206,1,5720,
JH401401,1,770,
PD401404,1,3690,
JZ401408,2,980,
36DU4026,14,3780,
YPA13007,1,390,
JF531007,3,4660,
PD402400,1,14250,
YPF08011,1,1030,
24121074,14,660,
24121070,30,930,
36PA0013,7,420,
24121080,3,170,
36PA0012,2,500,
DK121059,3,930,
DH121141,2,1720,
DS121060,1,280,
JZ551205,1,270,
28121044,1,780,
36PA0156,1,2620,
DD121072,2,200,
31151060,103,770,
DU201062,12,2140,
DJ201102,6,3290,
DJ201016,2,4130,
DS201003,4,2900,
DH201018,3,2650,
PF402000,5,2730,
FD201059,1,1280,
30151105,62,820,
13101024,21,150,
AA101137,37,120,
DK101751,43,140,
DS101032,8,120,
JL511205,8,200,
DU101065,1,130,
DH101171,1,120,
DK101176,2,140,
31101021,17,110,
JE511225,2,160,
JD561006,6,160,
DK101748,4,150,
59050008,2,440,
59040050,10,360,
39253204,8,200,
59050002,6,580,
39253105,6,460,
JB511011,2,430,
DD101349,1,450,
39068205,77,110,
JB511015,2,240,
JL111054,2,300,
39068405,1,170,
JF113412,2,190,
JA113403,2,240,
39184504,11,110,
DK201027,2,1540,
31191012,1,6050,
PD402418,1,16470,
PA402421,1,2540,
PA402400,1,8480,
52DH0295,1,14920,
31191018,1,3090,
DS211006,43,590,
PA401410,1,650,
DP161102,16,570,
JH161203,2,490,
DD161028,2,430,
36JL0021,1,960,
GF161090,1,350,
JG232606,2,240,
DJ211006,1,550,
PA402422,1,8090,
DJ191085,2,21070,
DH191071,2,19610,
DH191066,1,21660,
DH191076,2,12400,
DH191065,2,19350,
JF402400,1,25350,
DU191014,1,7940,
JL402400,1,21120,
JD402405,1,15520,
JZ402403,2,8610,
JL541227,5,310,
DL181080,79,420,
DJ201181,3,100,
DH101781,1,130,
DG101418,30,220,
31101067,25,230,
JW351400,1,630,
DP101452,6,210,
DK101380,5,240,
DH101424,56,70,
DG101456,4,200,
JL403600,6,250,
DH121101,6,130,
DJ201034,3,350,
DJ151069,10,330,
36PD0043,3,240,
36DK0007,1,180,
AB101038,7,230,
31121008,3,230,
JZ581401,1,250,
JZ581402,1,950,
DJ101215,3,700,
GF101047,1,1570,
GF121045,2,840,
24121079,2,440,
AA101577,5,1040,
AA101244,4,980,
JZ581205,1,180,
JE581400,3,270,
AA121218,1,500,
AN121201,3,520,
36AA4074,1,900,
JZ171818,1,150,
JM101016,1,230,
AB181012,111,210,
36241002,49,160,
AN101375,13,690,
AA101076,12,140,
24151289,12,140,
DK151045,2,120,
24140115,33,30,
AA141115,2,710,
36BA4042,24,690,
AB151074,28,610,
36BA4043,2,1450,
24151098,17,790,
DS201015,3,70,
DJ201035,1,440,
31201078,4,330,
PA401401,8,560,
31201079,11,370,
DJ201195,1,570,
JC201004,1,1030,
JB401405,3,430,
PA581227,2,180,
JC201039,1,780,
DH171014,357,110,
DG171019,19,140,
JH122013,7,320,
DF181024,1,3890,
JZ232600,6,3800,
PD232602,1,5290,
DJ181110,1,4690,
YPA13014,3,3920,
GF181023,1,2990,
DU181032,3,3890,
PF232606,2,6540,
PF232603,2,3650,
JB232600,1,4420,
DS201079,1,1540,
DK201065,5,1610,
PD402604,1,1280,
24151097,13,1370,
AB151045,2,790,
AA131017,21,160,
DH101151,10,80,
AL151104,13,80,
52240227,2,160,
AA191114,4,1200,
AA191116,4,970,
AB201090,48,110,
AP201121,1,580,
36AE0001,21,630,
36222207,59,550,
AE101068,29,170,
AA101329,5,1600,
FD191003,5,740,
JN181001,13,1500,
PA181281,10,1700,
36DJ4005,12,4300,
36JN0007,5,4860,
36JE0014,28,6250,
36PD0009,1,10680,
36JZ0080,1,7720,
36JA0005,20,6450,
52DJ0905,10,2740,
52DJ0906,4,2840,
52DH1322,2,2300,
52DH2010,2,3280,
52DU0933,1,2940,
52PA0529,2,3850,
52PA0051,1,2420,
52PA0530,3,2470,
52DH0880,6,3440,
52JZ0951,2,3010,
52DU0583,1,3660,
DZ73022V,1,2070,
52DH0531,1,2540,
52PA0023,1,3310,
52PF0320,1,2430,
52DH0879,3,3490,
52PA0531,1,1250,
52DH1525,3,2170,
DS101251,6,1080,
DU101185,26,1380,
DH101397,6,1710,
DY561400,5,1480,
DT561201,1,2850,
DS181066,14,1590,
DU181031,7,1400,
PF161227,3,730,
DS191054,5,1000,
PF161220,4,890,
36PA0042,2,4630,
36PA0123,15,5270,
36PA0187,3,6650,
36DU4003,1,5320,
