"Internal Reference","Name","Description","Barcode","Product Category/ID","Point of Sale Category/ID","Product Type","Cost","Sales Price","Available in POS","Can be Purchased","Can be Sold"
"DG191013","Bolt","Bolt","DG191013","point_of_sale.00034","pos_category.2w","Storable Product","150.0","150.0","True","True","True"
"31101062","Bolt","Bolt","31101062","point_of_sale.00034","pos_category.2w","Storable Product","80.0","80.0","True","True","True"
"39039004","Bolt","Bolt","39039004","point_of_sale.00034","pos_category.3w","Storable Product","40.0","40.0","True","True","True"
"39175904","Bolt","Bolt","39175904","point_of_sale.00034","pos_category.3w","Storable Product","30.0","30.0","True","True","True"
"JG113052","Bolt","Bolt","JG113052","point_of_sale.00313","pos_category.2w","Storable Product","60.0","60.0","True","True","True"
"DD101106","Bolt","Bolt","DD101106","point_of_sale.00034","pos_category.2w","Storable Product","30.0","30.0","True","True","True"
"39044404","Bolt","Bolt","39044404","point_of_sale.00034","pos_category.3w","Storable Product","60.0","60.0","True","True","True"
"39047404","Bolt","Bolt","39047404","point_of_sale.00034","pos_category.qute","Storable Product","20.0","20.0","True","True","True"
"39234501","Bolt","Bolt","39234501","point_of_sale.00034","pos_category.2w","Storable Product","10.0","10.0","True","True","True"
"59040038","Bolt","Bolt","59040038","point_of_sale.00034","pos_category.2w","Storable Product","30.0","30.0","True","True","True"
"39222204","Bolt","Bolt","39222204","point_of_sale.00034","pos_category.2w","Storable Product","50.0","50.0","True","True","True"
"39101004","Bolt","Bolt","39101004","point_of_sale.00034","pos_category.2w","Storable Product","235.0","235.0","True","True","True"
"39072604","Bolt","Bolt","39072604","point_of_sale.00034","pos_category.2w","Storable Product","35.0","35.0","True","True","True"
"KAAA0518","Bolt","Bolt","KAAA0518","point_of_sale.00034","pos_category.3w","Storable Product","10.0","10.0","True","True","True"
"39051904","Bolt","Bolt","39051904","point_of_sale.00034","pos_category.2w","Storable Product","10.0","10.0","True","True","True"
"39222104","Bolt","Bolt","39222104","point_of_sale.00034","pos_category.2w","Storable Product","10.0","10.0","True","True","True"
"39196704","Bolt","Bolt","39196704","point_of_sale.00034","pos_category.2w","Storable Product","80.0","80.0","True","True","True"
"39009004","Bolt","Bolt","39009004","point_of_sale.00034","pos_category.2w","Storable Product","15.0","15.0","True","True","True"
"39181404","Bolt","Bolt","39181404","point_of_sale.00034","pos_category.2w","Storable Product","25.0","25.0","True","True","True"
"39179104","Bolt","Bolt","39179104","point_of_sale.00034","pos_category.2w","Storable Product","10.0","10.0","True","True","True"
"39160804","Bolt","Bolt","39160804","point_of_sale.00034","pos_category.2w","Storable Product","130.0","130.0","True","True","True"
"39052704","Bolt","Bolt","39052704","point_of_sale.00034","pos_category.3w","Storable Product","25.0","25.0","True","True","True"
"39007104","Bolt","Bolt","39007104","point_of_sale.00034","pos_category.2w","Storable Product","10.0","10.0","True","True","True"
"39239304","Bolt","Bolt","39239304","point_of_sale.00034","pos_category.3w","Storable Product","240.0","240.0","True","True","True"
"24161003","Bolt","Bolt","24161003","point_of_sale.00034","pos_category.3w","Storable Product","220.0","220.0","True","True","True"
"30151096","Bolt","Bolt","30151096","point_of_sale.00034","pos_category.2w","Storable Product","80.0","80.0","True","True","True"
"39010604","Bolt","Bolt","39010604","point_of_sale.00034","pos_category.3w","Storable Product","100.0","100.0","True","True","True"
"30151095","Bolt","Bolt","30151095","point_of_sale.00034","pos_category.2w","Storable Product","80.0","80.0","True","True","True"
"LDA00018","Bolt","Bolt","LDA00018","point_of_sale.00034","pos_category.2w","Storable Product","5.0","5.0","True","True","True"
"DP101136","Bolt","Bolt","DP101136","point_of_sale.00034","pos_category.2w","Storable Product","80.0","80.0","True","True","True"
"39046204","Bolt","Bolt","39046204","point_of_sale.00034","pos_category.3w","Storable Product","80.0","80.0","True","True","True"
