"Order Ref","Order Lines/Product/Internal Reference","Order Lines/Quantity"
"","06101009","1.0"
"","36011001","1.0"
"","36222256","1.0"
"","05101018","1.0"
"Main/0056","36AA4058","1.0"
"Main/0055","05101018","1.0"
"Shop/0216","DJ191061","1.0"
"Main/0054","36DU1001","1.0"
"","36DD4002","1.0"
"","DM101140","1.0"
"","DM101139","1.0"
"","36311028","1.0"
"","39103519","2.0"
"","31101033","1.0"
"","36311006","1.0"
"","36DD4008","1.0"
"","DU101218","1.0"
"","39240320","1.0"
"Shop/0215","01100342K","2.0"
"Shop/0214","AB171044","1.0"
"Shop/0213","JZ401013","1.0"
"","DS201025","1.0"
"Shop/0212","DD121181","10.0"
"","AA101491","10.0"
"Main/0053","31121029","3.0"
"","DX121010","4.0"
"Shop/0211","36314001K","1.0"
"","31151060","1.0"
"Shop/0210","DK101380","1.0"
"Main/0052","39187019","1.0"
"Shop/0209","AN101127","1.0"
"","03100335","1.0"
"Main/0051","39187019","2.0"
"Main/0050","31151060","1.0"
"Main/0049","BH184000","1.0"
"Shop/0208","24141149","1.0"
"Shop/0207","DG111008","2.0"
"Shop/0206","DH161194","1.0"
"Main/0048","AA101364","6.0"
"Main/0047","36314001K","1.0"
"Main/0046","AA101569","1.0"
"Main/0045","BG113803","1.0"
"","AL201017","1.0"
"Main/0044","JE351005","1.0"
"Main/0043","AA101446","1.0"
"","JD511010","2.0"
"Shop/0205","DH101188","1.0"
"Main/0042","24191092","1.0"
"Shop/0204","DF181092","2.0"
"","DU191003","1.0"
"","DZ191014","1.0"
"Main/0041","DH101864","1.0"
"","DK101565","4.0"
"","DH101050","1.0"
"","DK101569","1.0"
"","36DH4030","1.0"
"","39201719","2.0"
"","DH101520","1.0"
"","39253105","1.0"
"","DH101033","1.0"
"","DH101016","1.0"
"","DH101006","1.0"
"","DH101154","1.0"
"","DJ101064","1.0"
"Shop/0203","36AN0010","1.0"
"","AA191093","1.0"
"","AA191094","1.0"
"","36AA4102","1.0"
"","36AA4025","1.0"
"","AA101472","6.0"
"","AA191102","1.0"
"","AN101135","1.0"
"","AN101149","1.0"
"","AA102094","1.0"
"","AN101186","1.0"
"","AN101166","1.0"
"","AN101257","1.0"
"Shop/0202","JN521001","1.0"
"","DS101251","1.0"
"","DS101036","1.0"
"","36DH4007","1.0"
"","DH101033","1.0"
"","DS101072","1.0"
"Shop/0201","36241010","1.0"
"","24131032","1.0"
"","24101056","1.0"
"","24130105","2.0"
"","22131014","2.0"
"","36222256","1.0"
"","06101009","1.0"
"","22131018","2.0"
"","36011001","1.0"
"","35101059","1.0"
"","24100308","1.0"
"Main/0040","30151105","1.0"
"Shop/0200","DH101154","1.0"
"","DJ101012","1.0"
"","36DH1003","1.0"
"","36DH4007","1.0"
"","DH101050","1.0"
"","DS101096","1.0"
"","39201719","2.0"
"","DK101733","1.0"
"","DH111012","1.0"
"Main/0039","03100338","1.0"
"","36241010","1.0"
"Shop/0199","36AA4042","1.0"
"","36AA1004","1.0"
"","AA101499","1.0"
"","AN101123","1.0"
"","36AN0013","1.0"
"","39103519","2.0"
"","28101118","1.0"
"","AA101210","7.0"
"","AA101472","6.0"
"","AA101207","1.0"
"","AA101569","1.0"
"","AA101565","1.0"
"","AA101564","1.0"
"","AB101067","1.0"
"","AN131023","1.0"
"","AN131039","1.0"
"","AA111093","1.0"
"","39103309","3.0"
"Main/0038","AN101190","1.0"
"Main/0037","36AA4118","1.0"
"Shop/0198","36DZ0002","1.0"
"Shop/0197","JD161201","1.0"
"Main/0036","JD521002","1.0"
"","JZ511016","1.0"
"","JD511010","1.0"
"Shop/0196","36DU1205","1.0"
"Shop/0195","39103519","2.0"
"","36AA4042","1.0"
"","36AA1004","1.0"
"","AA101210","7.0"
"","AA101472","6.0"
"","AA101569","1.0"
"","AA101015","1.0"
"","AA101134","1.0"
"","AB101067","1.0"
"","AA121336","1.0"
"","AA101392","1.0"
"","AA121006","1.0"
"","AA101364","6.0"
