External ID,Product/External ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_66086_23c2c786,__export__.product_product_10963_52a6207b,06111191,0.0
__export__.stock_inventory_line_66087_dcf0beaf,__export__.product_product_10964_5bbeb6e9,06111192,0.0
__export__.stock_inventory_line_66088_3369b48b,__export__.product_product_10965_b1e5cce7,06111193,0.0
__export__.stock_inventory_line_66089_6d1f3ac2,__export__.product_product_10966_0dcbc264,06111251,0.0
__export__.stock_inventory_line_66090_83447a7f,__export__.product_product_37613_12059728,06111266,0.0
__export__.stock_inventory_line_66091_9c1f2335,__export__.product_product_37614_2d8eae83,06111279,5
__export__.stock_inventory_line_66092_7e86bff5,__export__.product_product_10967_91ef26b1,06121013,0.0
__export__.stock_inventory_line_66093_f6c2da4a,__export__.product_product_10968_d87b8a68,06121031,0.0
__export__.stock_inventory_line_66094_1c5f1cfa,__export__.product_product_10969_921ab3d0,06121045,0.0
__export__.stock_inventory_line_66095_4c1586a8,__export__.product_product_10970_531f8bf1,06141010,0.0
__export__.stock_inventory_line_66096_87cbef5d,__export__.product_product_10971_49392700,06150101,0.0
__export__.stock_inventory_line_66097_26f5c32f,__export__.product_product_10972_ab56c846,06150201,0.0
__export__.stock_inventory_line_66098_4f850de8,__export__.product_product_10973_ec31f316,06150302,0.0
__export__.stock_inventory_line_66099_2d68b034,__export__.product_product_10974_d7d1b032,06150304,0.0
__export__.stock_inventory_line_66100_781e2662,__export__.product_product_10975_ebf03d41,06151013,0.0
__export__.stock_inventory_line_66101_18b143f9,__export__.product_product_10976_cc737c13,06151023,0.0
__export__.stock_inventory_line_66102_9a7eaaa2,__export__.product_product_10977_a899501b,06151031,0.0
__export__.stock_inventory_line_66103_ba8a670c,__export__.product_product_10978_895cf707,06151032,0.0
__export__.stock_inventory_line_66104_619537e2,__export__.product_product_37615_ae3c5db0,06160711,0.0
__export__.stock_inventory_line_66105_c0ccbd38,__export__.product_product_37616_93d29cc0,06160712,0.0
__export__.stock_inventory_line_66106_d7181f5b,__export__.product_product_37617_b913bb43,06160713,0.0
__export__.stock_inventory_line_66107_7d823bd2,__export__.product_product_10979_e736f2ab,06161228,0.0
__export__.stock_inventory_line_66108_550fe4c7,__export__.product_product_10980_cf57ea7b,06161248,0.0
__export__.stock_inventory_line_66109_0c786b32,__export__.product_product_10981_0fe5190a,06161353,0.0
__export__.stock_inventory_line_66110_3e807bd9,__export__.product_product_10982_bd4be09c,06170201,0.0
__export__.stock_inventory_line_66111_72e812fd,__export__.product_product_10983_a74ac92a,06180107,0.0
__export__.stock_inventory_line_66112_7ffb5ff9,__export__.product_product_37618_d068229d,06180303,0.0
__export__.stock_inventory_line_66113_9352018c,__export__.product_product_10984_1a414336,06181002,0.0
__export__.stock_inventory_line_66114_93d5837f,__export__.product_product_37619_724e9e1f,06181038,0.0
__export__.stock_inventory_line_66115_4e89732c,__export__.product_product_10985_686f9ae0,06181049,0.0
__export__.stock_inventory_line_66116_e35bd17d,__export__.product_product_37620_c8e0bb94,06181070,0.0
__export__.stock_inventory_line_66117_10ac0c0e,__export__.product_product_10986_3f288ed1,06190111,0.0
__export__.stock_inventory_line_66118_ac04a472,__export__.product_product_37621_13176139,06190226,0.0
__export__.stock_inventory_line_66119_42b3cfba,__export__.product_product_37622_e60f19ea,06190227,1
__export__.stock_inventory_line_66120_2de7b123,__export__.product_product_10987_c185e452,06190310,0.0
__export__.stock_inventory_line_66121_3593a1fa,__export__.product_product_10988_3ec9c233,06191010,0.0
__export__.stock_inventory_line_66122_121967d8,__export__.product_product_10989_8a98e6d6,06191013,0.0
__export__.stock_inventory_line_66123_84f62f61,__export__.product_product_10990_8a47b78d,06191035,0.0
__export__.stock_inventory_line_66124_8d7cd010,__export__.product_product_10991_1ea64c96,06191055,0.0
__export__.stock_inventory_line_66125_296f4ab2,__export__.product_product_37623_e0f46136,06191061,0.0
__export__.stock_inventory_line_66126_ace885fa,__export__.product_product_10992_76b6e2a3,06191065,0.0
__export__.stock_inventory_line_66127_c38cbc9d,__export__.product_product_10993_d468c53c,06191077,0.0
__export__.stock_inventory_line_66128_c00a918d,__export__.product_product_10994_16e60342,06191080,0.0
__export__.stock_inventory_line_66129_7bd0bcfc,__export__.product_product_37624_5eff9266,06191089,3
__export__.stock_inventory_line_66130_be2a6d21,__export__.product_product_10995_5c214d9f,06191096,0.0
__export__.stock_inventory_line_66131_48e59262,__export__.product_product_10996_f67a4cae,06191097,0.0
__export__.stock_inventory_line_66132_c6b4e31f,__export__.product_product_10997_ecacb911,06191113,0.0
__export__.stock_inventory_line_66133_eac05f08,__export__.product_product_10998_f3e24b7a,06191121,0.0
__export__.stock_inventory_line_66134_f5c8b594,__export__.product_product_10999_f0fb8a7c,06191127,0.0
__export__.stock_inventory_line_66135_7b1ebebb,__export__.product_product_37625_8080a245,06201007,0.0
__export__.stock_inventory_line_66136_cf2e1a6f,__export__.product_product_11000_94dda270,06201024,0.0
__export__.stock_inventory_line_66137_8b5d97db,__export__.product_product_37626_a3bc19a6,06201082,0.0
__export__.stock_inventory_line_66138_fcf5a346,__export__.product_product_11001_75704f82,06201083,0.0
__export__.stock_inventory_line_66139_c2894f0f,__export__.product_product_11002_9a3084fd,06201198,0.0
__export__.stock_inventory_line_66140_61c10e0a,__export__.product_product_37627_c3c0f2d4,06201200,0.0
__export__.stock_inventory_line_66141_960d1775,__export__.product_product_11003_c2a57c19,06201204,0.0
__export__.stock_inventory_line_66142_a850e742,__export__.product_product_11004_e911f4f9,06201246,0.0
__export__.stock_inventory_line_66143_e3b1fa79,__export__.product_product_11005_c641542e,06201274,0.0
__export__.stock_inventory_line_66144_c02623e5,__export__.product_product_37628_cff86044,06201284,0.0
__export__.stock_inventory_line_66145_1271ec4a,__export__.product_product_37629_2bad7e58,06201325,0.0
__export__.stock_inventory_line_66146_3c1aacb8,__export__.product_product_37630_b1f903ff,06201334,0.0
__export__.stock_inventory_line_66147_467f7151,__export__.product_product_37631_c750028a,06201396,0.0
__export__.stock_inventory_line_66148_7869d9b1,__export__.product_product_37632_76bc90d9,07140203,0.0
__export__.stock_inventory_line_66149_943f0ee7,__export__.product_product_37633_5acc2b2b,07181004,0.0
__export__.stock_inventory_line_66150_ee5e142e,__export__.product_product_37634_4cfef07f,07181006,0.0
__export__.stock_inventory_line_66151_beddf1bb,__export__.product_product_37635_ed97540a,07181007,0.0
__export__.stock_inventory_line_66152_1abc9470,__export__.product_product_37636_281b699a,07181009,2
__export__.stock_inventory_line_66153_a8cc10fe,__export__.product_product_11006_b119d5cc,0770020170,0.0
__export__.stock_inventory_line_66154_753b8d8c,__export__.product_product_11007_a7f2aefd,07700900151,0.0
__export__.stock_inventory_line_66155_d267178b,__export__.product_product_11008_c4a3921f,07701250151,0.0
__export__.stock_inventory_line_66156_8b48376f,__export__.product_product_11009_de19a222,0770260015,0.0
__export__.stock_inventory_line_66157_7adb4c82,__export__.product_product_11010_24884a33,07703305178,0.0
__export__.stock_inventory_line_66158_e93e03e5,__export__.product_product_11011_d60e4862,0770440020,0.0
__export__.stock_inventory_line_66159_a33b1e90,__export__.product_product_37637_11beda18,08111018,0.0
__export__.stock_inventory_line_66160_1b3607bd,__export__.product_product_11012_7285d8e1,08161028,0.0
__export__.stock_inventory_line_66161_62df1218,__export__.product_product_37638_90ff7ba8,08161032,0.0
__export__.stock_inventory_line_66162_fea6768b,__export__.product_product_11013_b3ce45de,08201007,0.0
__export__.stock_inventory_line_66163_88824383,__export__.product_product_37639_a5a887a3,10111009,0.0
__export__.stock_inventory_line_66164_0ec6ee38,__export__.product_product_11014_3a3ccd34,10191001,0.0
__export__.stock_inventory_line_66165_2d1500db,__export__.product_product_11015_024d935a,12151003,0.0
__export__.stock_inventory_line_66166_7b8bb140,__export__.product_product_11016_41c26491,12191008,0.0
__export__.stock_inventory_line_66167_96df57be,__export__.product_product_11017_c2795c5a,12191012,0.0
__export__.stock_inventory_line_66168_09674ee2,__export__.product_product_11018_5be0cb1a,12201003,0.0
__export__.stock_inventory_line_66169_b43fdc15,__export__.product_product_37640_439e5d09,13101022,0.0
__export__.stock_inventory_line_66170_86490dc9,__export__.product_product_37641_f3157a6a,13101024,21
__export__.stock_inventory_line_66171_dea9af38,__export__.product_product_37642_39a66d94,13101031,14
__export__.stock_inventory_line_66172_5028d82c,__export__.product_product_11019_ce91f2e0,13101035,0.0
__export__.stock_inventory_line_66173_a4d4ec68,__export__.product_product_37643_4f5d7097,13101165,68
__export__.stock_inventory_line_66174_8f76aea3,__export__.product_product_11020_05fe4cea,14151021,3
__export__.stock_inventory_line_66175_ec69f0c1,__export__.product_product_11021_a6a2bb5e,14151033,9
__export__.stock_inventory_line_66176_286b67f0,__export__.product_product_11022_fdabc368,14181010,0.0
__export__.stock_inventory_line_66177_59388501,__export__.product_product_11023_711b99ff,14191013,0.0
__export__.stock_inventory_line_66178_815017ca,__export__.product_product_37644_385ab86d,15101011,0.0
__export__.stock_inventory_line_66179_f043a2aa,__export__.product_product_11024_eb25c0a4,15101015,0.0
__export__.stock_inventory_line_66180_4f64f7eb,__export__.product_product_11025_739cb7d8,15101027,0.0
__export__.stock_inventory_line_66181_4f1e81fc,__export__.product_product_11026_dd440a7c,15101043,0.0
__export__.stock_inventory_line_66182_3d46743f,__export__.product_product_11027_8d25e5df,15101051,0.0
__export__.stock_inventory_line_66183_60fed77d,__export__.product_product_11028_cfe2b1ba,15101055,0.0
__export__.stock_inventory_line_66184_79ca0673,__export__.product_product_11029_563bb6f0,15101068,0.0
__export__.stock_inventory_line_66185_d3435195,__export__.product_product_11030_51ae8a46,15101084,0.0
__export__.stock_inventory_line_66186_fdce189a,__export__.product_product_37645_22decdd7,15101122,109
__export__.stock_inventory_line_66187_64e5ec2a,__export__.product_product_11031_30fd3d00,15101146,0.0
__export__.stock_inventory_line_66188_89b92cd7,__export__.product_product_11032_c985d200,15101163,0.0
__export__.stock_inventory_line_66189_2c0f997f,__export__.product_product_37646_8946116c,15101171,0.0
__export__.stock_inventory_line_66190_9ef80331,__export__.product_product_11033_e835fd16,15141007,0.0
__export__.stock_inventory_line_66191_76ce6565,__export__.product_product_37647_bde2c4ab,15141013,0.0
__export__.stock_inventory_line_66192_3d5462e7,__export__.product_product_11034_16df10b3,15151047,0.0
__export__.stock_inventory_line_66193_89c93174,__export__.product_product_11035_35b813cd,15151056,0.0
__export__.stock_inventory_line_66194_bf5f28fe,__export__.product_product_11036_97fd4e79,15151058,0.0
__export__.stock_inventory_line_66195_877bc788,__export__.product_product_11037_29a91503,15151066,0.0
__export__.stock_inventory_line_66196_083e7d28,__export__.product_product_11038_d053574b,15151078,0.0
__export__.stock_inventory_line_66197_f7bf062f,__export__.product_product_11039_912a0b43,15161069,8
__export__.stock_inventory_line_66198_e50f0bae,__export__.product_product_11040_fb0d1498,15161103,0.0
__export__.stock_inventory_line_66199_e1eff49f,__export__.product_product_11041_83101379,15161137,0.0
__export__.stock_inventory_line_66200_10cdd53e,__export__.product_product_11042_ef533d67,15171011,0.0
__export__.stock_inventory_line_66201_ff51ad3e,__export__.product_product_11043_e7def161,15171012,0.0
__export__.stock_inventory_line_66202_3b2d28b1,__export__.product_product_11044_c1158906,15171017,0.0
__export__.stock_inventory_line_66203_325280bb,__export__.product_product_11045_5d8210fb,15171060,0.0
__export__.stock_inventory_line_66204_1847ed9a,__export__.product_product_37648_fcd0a2fe,15181034,0.0
__export__.stock_inventory_line_66205_4833552f,__export__.product_product_11046_c5e1356c,15191025,0.0
__export__.stock_inventory_line_66206_36f8a77d,__export__.product_product_11047_2890d1df,15191026,0.0
__export__.stock_inventory_line_66207_e4623964,__export__.product_product_11048_acaf97f0,15191039,0.0
__export__.stock_inventory_line_66208_62aff745,__export__.product_product_11049_4a61dbd3,15191045,0.0
__export__.stock_inventory_line_66209_84d1061a,__export__.product_product_11050_fa25cd84,16101005,0.0
__export__.stock_inventory_line_66210_4bc41850,__export__.product_product_11051_55b4537d,16101022,0.0
__export__.stock_inventory_line_66211_e339a00a,__export__.product_product_11052_e264bae6,16101037,0.0
__export__.stock_inventory_line_66212_f475fb5d,__export__.product_product_11053_07281a22,16101059,0.0
__export__.stock_inventory_line_66213_bbef0c19,__export__.product_product_11054_b7a85155,16101107,0.0
__export__.stock_inventory_line_66214_375ea9a2,__export__.product_product_11055_5c177ab6,16101256,0.0
__export__.stock_inventory_line_66215_2fc339ac,__export__.product_product_11056_caa05548,16101267,0.0
__export__.stock_inventory_line_66216_9e944d34,__export__.product_product_11057_15d10571,16111115,0.0
__export__.stock_inventory_line_66217_4dd63d47,__export__.product_product_37649_b8cbfa02,16111125,0.0
__export__.stock_inventory_line_66218_401b4ee8,__export__.product_product_11058_90a795b4,16121004,0.0
