ID,Internal Reference,Point of Sale Category,Sales Price,Cost,Updated Sales Price,Updated Cost
point_of_sale.STDZ0047,STDZ0047,Bajaj / 2W,1031.0,1031.0,,
point_of_sale.STDZ0048,STDZ0048,Bajaj / 2W,1031.0,1031.0,,
point_of_sale.52JF0603,52JF0603,Bajaj / 2W,1030.0,1030.0,,
point_of_sale.31121071,31121071,Bajaj / 2W,1030.0,1030.0,,
point_of_sale.DK101475,DK101475,Bajaj / 2W,1030.0,1030.0,,
point_of_sale.DK101160,DK101160,Bajaj / 2W,1030.0,1030.0,,
point_of_sale.DZ101001,DZ101001,Bajaj / 2W,1030.0,1030.0,,
point_of_sale.JG511211,JG511211,Bajaj / 2W,1030.0,1030.0,,
point_of_sale.52DV0051,52DV0051,Bajaj / 2W,1030.0,1030.0,,
point_of_sale.DK151013,DK151013,Bajaj / 2W,1030.0,1030.0,,
point_of_sale.BF232434,BF232434,Bajaj / QUTE,1030.0,1030.0,,
point_of_sale.JD113031,JD113031,Bajaj / 2W,1030.0,1030.0,,
point_of_sale.JV511005,JV511005,Bajaj / 2W,1030.0,1030.0,,
point_of_sale.JE621002,JE621002,Bajaj / 2W,1030.0,1030.0,,
point_of_sale.36PA0173,36PA0173,Bajaj / 2W,1025.0,1025.0,,
point_of_sale.BA102017,BA102017,Bajaj / 3W,1025.0,1025.0,,
point_of_sale.15101051,15101051,Bajaj / 2W,1025.0,1025.0,,
point_of_sale.DF161104,DF161104,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.52JL0158,52JL0158,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.PF231601,PF231601,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.JG561012,JG561012,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.JB171800,JB171800,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.JL181233,JL181233,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.DT181007,DT181007,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.JU233075,JU233075,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.JU233074,JU233074,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.AA191070,AA191070,Bajaj / 3W,1020.0,1020.0,,
point_of_sale.JG401600,JG401600,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.JG551455,JG551455,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.JC181017,JC181017,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.JF161201,JF161201,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.24121255,24121255,Bajaj / 3W,1020.0,1020.0,,
point_of_sale.PF161202,PF161202,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.DK121047,DK121047,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.52JY0823,52JY0823,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.JA511201,JA511201,Bajaj / 2W,1020.0,1020.0,,
point_of_sale.21170406,21170406,Bajaj / 3W,1015.0,1015.0,,
point_of_sale.JZ401036,JZ401036,Bajaj / 2W,1015.0,1015.0,,
point_of_sale.FD121026,FD121026,Bajaj / 2W,1015.0,1015.0,,
point_of_sale.TE006201,TE006201,Bajaj / 2W,1015.0,1015.0,,
point_of_sale.DI2W091,DI2W091,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.JM151005,JM151005,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.DI3W023,DI3W023,Bajaj / 3W,1010.0,1010.0,,
point_of_sale.DU191062,DU191062,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.JW73014J,JW73014J,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.DU191046,DU191046,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.BF121071,BF121071,Bajaj / QUTE,1010.0,1010.0,,
point_of_sale.52PF0731,52PF0731,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.06150201,06150201,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.DK101149,DK101149,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.DM121044,DM121044,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.BF185080,BF185080,Bajaj / QUTE,1010.0,1010.0,,
point_of_sale.DJ201105,DJ201105,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.JC201005,JC201005,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.JZ113031,JZ113031,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.JE551207,JE551207,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.JK181001,JK181001,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.JY511221,JY511221,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.PA181276,PA181276,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.BF185077,BF185077,Bajaj / QUTE,1010.0,1010.0,,
point_of_sale.DK101177,DK101177,Bajaj / 2W,1010.0,1010.0,,
point_of_sale.JD151035,JD151035,Bajaj / 2W,1005.0,1005.0,,
point_of_sale.DF201044,DF201044,Bajaj / 2W,1005.0,1005.0,,
point_of_sale.DJ221006,DJ221006,Bajaj / 2W,1005.0,1005.0,,
point_of_sale.JK73023F,JK73023F,Bajaj / 2W,1005.0,1005.0,,
point_of_sale.STJL0005,STJL0005,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.AA191029,AA191029,Bajaj / 3W,1000.0,1000.0,,
point_of_sale.STJK0016,STJK0016,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.PF582401,PF582401,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.DU161231,DU161231,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.DI2W079,DI2W079,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.36DT0014,36DT0014,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.JZ161224,JZ161224,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.JZ181420,JZ181420,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.PF581410,PF581410,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.DH010403,DH010403,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.DJ141073,DJ141073,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.JC201021,JC201021,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.DI2W009,DI2W009,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.JF181272,JF181272,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.24151268,24151268,Bajaj / 3W,1000.0,1000.0,,
point_of_sale.36JZ0196,36JZ0196,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.PD161207,PD161207,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.DI2W029,DI2W029,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.DH141072,DH141072,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.36PA0166,36PA0166,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.STDS1107,STDS1107,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.06101007,06101007,Bajaj / 3W,1000.0,1000.0,,
point_of_sale.JY181215,JY181215,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.52PF1038,52PF1038,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.DZ201038,DZ201038,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.JL161005,JL161005,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.STJK0015,STJK0015,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.36JH0009,36JH0009,Bajaj / 2W,1000.0,1000.0,,
point_of_sale.BF243059,BF243059,Bajaj / QUTE,1000.0,1000.0,,
point_of_sale.24231452,24231452,Bajaj / 3W,1000.0,1000.0,,
point_of_sale.AL191011,AL191011,Bajaj / 3W,995.0,995.0,,
point_of_sale.DU141244,DU141244,Bajaj / 2W,995.0,995.0,,
point_of_sale.DU141232,DU141232,Bajaj / 2W,995.0,995.0,,
point_of_sale.DU141245,DU141245,Bajaj / 2W,995.0,995.0,,
point_of_sale.GH201013,GH201013,Bajaj / 2W,995.0,995.0,,
point_of_sale.DU141233,DU141233,Bajaj / 2W,995.0,995.0,,
point_of_sale.39224220,39224220,Bajaj / 2W,990.0,990.0,,
point_of_sale.YPF08009,YPF08009,Bajaj / 2W,990.0,990.0,,
point_of_sale.AL151211,AL151211,Bajaj / 3W,990.0,990.0,,
point_of_sale.DX151009,DX151009,Bajaj / 2W,990.0,990.0,,
point_of_sale.BF402213,BF402213,Bajaj / QUTE,990.0,990.0,,
point_of_sale.DS111030,DS111030,Bajaj / 2W,990.0,990.0,,
point_of_sale.JZ541202,JZ541202,Bajaj / 2W,990.0,990.0,,
point_of_sale.AA191113,AA191113,Bajaj / 3W,990.0,990.0,,
point_of_sale.52JB5504,52JB5504,Bajaj / 2W,990.0,990.0,,
point_of_sale.AL151212,AL151212,Bajaj / 3W,990.0,990.0,,
point_of_sale.36AL0039,36AL0039,Bajaj / 3W,990.0,990.0,,
point_of_sale.DU201126,DU201126,Bajaj / 2W,990.0,990.0,,
point_of_sale.JW73023J,JW73023J,Bajaj / 2W,990.0,990.0,,
point_of_sale.JK161202,JK161202,Bajaj / 2W,990.0,990.0,,
point_of_sale.36AL0037,36AL0037,Bajaj / 3W,990.0,990.0,,
point_of_sale.BF531051,BF531051,Bajaj / QUTE,990.0,990.0,,
point_of_sale.PD233020,PD233020,Bajaj / 2W,990.0,990.0,,
point_of_sale.DZ201028,DZ201028,Bajaj / 2W,990.0,990.0,,
point_of_sale.GL171072,GL171072,Bajaj / 3W,990.0,990.0,,
point_of_sale.36DH4172,36DH4172,Bajaj / 2W,990.0,990.0,,
point_of_sale.JG601208,JG601208,Bajaj / 2W,990.0,990.0,,
point_of_sale.PF551200,PF551200,Bajaj / 2W,990.0,990.0,,
point_of_sale.JB181204,JB181204,Bajaj / 2W,990.0,990.0,,
point_of_sale.PD351220,PD351220,Bajaj / 2W,990.0,990.0,,
point_of_sale.36AA4112,36AA4112,Bajaj / 3W,990.0,990.0,,
point_of_sale.JY551228,JY551228,Bajaj / 2W,990.0,990.0,,
point_of_sale.DI3W058,DI3W058,Bajaj / 3W,988.0,988.0,,
point_of_sale.36JL0060,36JL0060,Bajaj / 2W,985.0,985.0,,
point_of_sale.GF161063,GF161063,Bajaj / 2W,985.0,985.0,,
point_of_sale.22231140,22231140,Bajaj / 3W,985.0,985.0,,
point_of_sale.JK233010,JK233010,Bajaj / 2W,985.0,985.0,,
point_of_sale.JK233011,JK233011,Bajaj / 2W,985.0,985.0,,
point_of_sale.GF201025,GF201025,Bajaj / 2W,985.0,985.0,,
point_of_sale.DT402008,DT402008,Bajaj / 2W,980.0,980.0,,
point_of_sale.36AA4040,36AA4040,Bajaj / 3W,980.0,980.0,,
point_of_sale.AB201076,AB201076,Bajaj / 3W,980.0,980.0,,
point_of_sale.36DH4161,36DH4161,Bajaj / 2W,980.0,980.0,,
point_of_sale.JF401600,JF401600,Bajaj / 2W,980.0,980.0,,
point_of_sale.BF131924,BF131924,Bajaj / QUTE,980.0,980.0,,
point_of_sale.36JZ0160,36JZ0160,Bajaj / 2W,980.0,980.0,,
point_of_sale.JY561205,JY561205,Bajaj / 2W,980.0,980.0,,
point_of_sale.DU201028,DU201028,Bajaj / 2W,980.0,980.0,,
point_of_sale.CB101016,CB101016,Bajaj / 2W,980.0,980.0,,
point_of_sale.24181009,24181009,Bajaj / 3W,980.0,980.0,,
point_of_sale.DD101424,DD101424,Bajaj / 2W,980.0,980.0,,
point_of_sale.DT113028,DT113028,Bajaj / 2W,980.0,980.0,,
point_of_sale.DJ161127,DJ161127,Bajaj / 2W,980.0,980.0,,
point_of_sale.JY233194,JY233194,Bajaj / 2W,980.0,980.0,,
point_of_sale.JZ581010,JZ581010,Bajaj / 2W,980.0,980.0,,
point_of_sale.JZ181415,JZ181415,Bajaj / 2W,980.0,980.0,,
point_of_sale.AL151222,AL151222,Bajaj / 3W,980.0,980.0,,
point_of_sale.PA74045V,PA74045V,Bajaj / 2W,980.0,980.0,,
point_of_sale.AN101323,AN101323,Bajaj / 3W,980.0,980.0,,
point_of_sale.JD561004,JD561004,Bajaj / 2W,980.0,980.0,,
point_of_sale.JY233197,JY233197,Bajaj / 2W,980.0,980.0,,
point_of_sale.JL181241,JL181241,Bajaj / 2W,980.0,980.0,,
point_of_sale.JB571005,JB571005,Bajaj / 2W,980.0,980.0,,
point_of_sale.JY233195,JY233195,Bajaj / 2W,980.0,980.0,,
point_of_sale.BF561201,BF561201,Bajaj / QUTE,980.0,980.0,,
point_of_sale.DS101363,DS101363,Bajaj / 2W,975.0,975.0,,
point_of_sale.22231141,22231141,Bajaj / 3W,975.0,975.0,,
point_of_sale.DH102189,DH102189,Bajaj / 2W,970.0,970.0,,
point_of_sale.24231473,24231473,Bajaj / 3W,970.0,970.0,,
point_of_sale.DH102107,DH102107,Bajaj / 2W,970.0,970.0,,
point_of_sale.BF161245,BF161245,Bajaj / QUTE,970.0,970.0,,
point_of_sale.58038022000,58038022000,Bajaj / 2W,970.0,970.0,,
point_of_sale.AL151231,AL151231,Bajaj / 3W,970.0,970.0,,
point_of_sale.56JP4CX3,56JP4CX3,Bajaj / 2W,970.0,970.0,,
point_of_sale.DJ201144,DJ201144,Bajaj / 2W,970.0,970.0,,
point_of_sale.56JP4BX3,56JP4BX3,Bajaj / 2W,970.0,970.0,,
point_of_sale.36PF0049,36PF0049,Bajaj / 2W,970.0,970.0,,
