දිනය,ගෙවීම් ක්‍රමය,බිල්පත් අංකය,පාරිභෝගිකයා ,රිටන් බිල්පත් අංකය,Order/Order Lines/Product,Order/Order Lines/Quantity,Order/Order Lines/Discount (%),Order/Order Lines/Subtotal w/o Tax,මුදල්
,,,,,[SA06101007(SA)] SA Starter Gear,1,0,500,
,,,,,[SVA0024(SA)] SA Coupling Rubber - Large (Blue Colour),4,0,80,
,,,,,[15101122] Gasket,1,15,204,
,,,,,[22191096] Cable Comp Speedometer,1,15,901,
,,,,,[05101018] Bearing Needle [Nb125J815/C5] - Crankshaft,1,15,1096.5,
,,,,,[03100338] Bearing Ball [1838001/C3] - Crankshaft,1,15,773.5,
,,,,,[CD101082] Crank Shaft Assy,1,17,6814.3,
2021-09-18 12:59:23,මුදල්,Order 00430-001-0057,FALSE,,[BP00215(LUMAX)] Signal Unit - Boxer,2,0,1800,1800
2021-09-18 12:55:05,මුදල්,Order 00430-001-0051,FALSE,,[AA101499] Connecting Rod Kit-Re 4S,1,15,2541.5,12380
,,,,,[6305ZZE(NACHi)] NACHi 6305ZZE Bearing,1,0,1000,
,,,,,[6305(NACHi)] NACHi 6305 Bearing,1,0,650,
,,,,,[36AA4042] Kit_ Packing Set Re 205,1,17,2415.3,
,,,,,[36AA1004] Oil Seal Kit [3W-4S],1,15,680,
,,,,,[28101110] Damper Spring,1,15,263.5,
,,,,,[AA101564] Guide -Chain,1,15,510,
,,,,,[AA101565] Guide -Chain,1,15,535.5,
,,,,,[AA121336] Oil Pump Assembly,1,20,904,
,,,,,[03180116] O Ring,3,0,30,
,,,,,[AA121006] Oil Filter Element,1,17,215.8,
,,,,,[28101118] Bush,1,15,136,
,,,,,[AA101143] Rubber Pad,1,15,102,
,,,,,[39200811] Plain Washer,1,0,90,
,,,,,[39167404] Flanged Bolt,1,0,30,
,,,,,[30191037] Pin,2,0,80,
,,,,,[30G(HI-BOND)] HiBond Glue - 30g,1,0,300,
,,,,,[500702NAE] Caltex Super - 4T - 20/50 - 1L,2,0,1900,
2021-09-18 12:51:12,මුදල්,Order 00430-001-0055,FALSE,,[JD511202] Valve Exhaust,2,17,2041.8,8530
,,,,,[JD511201] Intake Valve,2,17,1643.4,
,,,,,[36JZ0102] Valve Kit,2,17,3386.4,
,,,,,[36DH4030] Kit Chain Guide Pulsar-150,2,17,1460.8,
2021-09-18 12:49:20,මුදල්,Order 00430-001-0054,FALSE,,[JA561207] Inhibitor Complete Gear Shift,1,15,289,290
2021-09-18 12:45:52,මුදල්,Order 00430-001-0052,FALSE,,[DX121010] Air Filter - Element,4,17,2224.4,3020
,,,,,[31121029] Filter Element-Air,2,17,796.8,
2021-09-18 12:41:04,මුදල්,Order 00430-001-0050,FALSE,,[DJ101216] Tensioner Assembly Discover Black,1,15,1317.5,2970
,,,,,[DH111015] Cap-Spark Plug,2,15,833,
,,,,,[DG111008] Plug Spark,2,15,816,
2021-09-18 12:30:57,මුදල්,Order 00430-001-0048,FALSE,,[510853VREL] Caltex Grease - 100g,1,0,230,230
2021-09-18 12:27:17,මුදල්,Order 00430-001-0047,FALSE,,[AA101154] Oil Strainer,1,15,127.5,170
,,,,,[24121402] O_Ring For Lpg Filter,1,0,40,
2021-09-18 12:25:26,මුදල්,Order 00430-001-0046,FALSE,,[24181043] Steering Column Assembly,1,0,14800,17080
,,,,,[36BA4039] Kit Pivot Pin With Grease Hole,1,0,2000,
,,,,,[AB181017] Stel Bal/Nyln Cag Up,1,15,93.5,
,,,,,[AB181012] Stl Ball With Cage L,1,15,191.25,
2021-09-18 12:08:55,මුදල්,Order 00430-001-0045,FALSE,,[30151105] Brake Shoe Assy,1,15,697,700
2021-09-18 12:08:12,මුදල්,Order 00430-001-0044,FALSE,,[DJ161221] Fender Rear-Additional (Pulsar Ug Ii),1,0,1000,1000
2021-09-18 12:07:03,මුදල්,Order 00430-001-0043,FALSE,,[AA101598] Clutch Comp,1,0,7800,7800
2021-09-18 12:04:43,මුදල්,Order 00430-001-0041,FALSE,,[DD101325] Cap Oil Filter,1,0,90,130
,,,,,[01100610] Woodruff Key For Magneto,1,0,40,
2021-09-18 11:47:56,මුදල්,Order 00430-001-0040,Lankika Tradding,,[DV101042] Gasket Cover Magneto,5,17,996,1000
2021-09-18 11:45:18,මුදල්,Order 00430-001-0039,FALSE,,[DZ141040] Fuel Cock Assly. Platina (Economical),1,15,1113.5,1770
,,,,,[31151060] Shoe Brake,1,15,654.5,
2021-09-18 11:37:35,මුදල්,Order 00430-001-0038,FALSE,,[36DU1001] Kit - O'Ring Cylinder Head,1,15,467.5,2920
,,,,,[36DD4002] Kit Gasket Ct100,1,15,527,
,,,,,[DM101139] Gasket (Gen. Cover),1,15,187,
,,,,,[DM101140] Gasket (Clutch),1,15,348.5,
,,,,,[39108019] Oil Seal [ F / Sprocket ],1,15,102,
,,,,,[39104219] Oil Seal [ Magneto ],1,15,144.5,
,,,,,[30101142] Oil Seal [ Kick ],1,15,93.5,
,,,,,[39104319] Oil Seal [ Gear Shaft Inner ],1,15,119,
,,,,,[36311006] Chain Guide Kit (4S),1,15,935,
