External ID,Internal Reference,Quantity On Hand
point_of_sale.22151032,22151032,-14.0
point_of_sale.22151040,22151040,0.0
point_of_sale.22151048,22151048,0.0
point_of_sale.22151060,22151060,0.0
point_of_sale.22151063,22151063,0.0
point_of_sale.22151064,22151064,0.0
point_of_sale.22151070,22151070,0.0
point_of_sale.22151071,22151071,0.0
point_of_sale.22151081,22151081,0.0
point_of_sale.22151086,22151086,0.0
point_of_sale.22151090,22151090,-2.0
point_of_sale.22151096,22151096,0.0
point_of_sale.22151097,22151097,0.0
point_of_sale.22151106,22151106,1.0
point_of_sale.22160805,22160805,0.0
point_of_sale.22161051,22161051,0.0
point_of_sale.22161139,22161139,0.0
point_of_sale.22161153,22161153,0.0
point_of_sale.22170115,22170115,70.0
point_of_sale.22170117,22170117,0.0
point_of_sale.22170118,22170118,0.0
point_of_sale.22170337,22170337,0.0
point_of_sale.22170345,22170345,0.0
point_of_sale.22170403,22170403,-2.0
point_of_sale.22170434,22170434,77.0
point_of_sale.22170502,22170502,0.0
point_of_sale.22171007,22171007,61.0
point_of_sale.22171021,22171021,0.0
point_of_sale.22171046,22171046,0.0
point_of_sale.22171051,22171051,0.0
point_of_sale.22171080,22171080,0.0
point_of_sale.22171082,22171082,0.0
point_of_sale.22180219,22180219,4.0
point_of_sale.22181025,22181025,0.0
point_of_sale.22181036,22181036,0.0
point_of_sale.22181044,22181044,0.0
point_of_sale.22181058,22181058,21.0
point_of_sale.22190112,22190112,0.0
point_of_sale.22191012,22191012,0.0
point_of_sale.22191047,22191047,0.0
point_of_sale.22191048,22191048,0.0
point_of_sale.22191072,22191072,-1.0
point_of_sale.22191073,22191073,0.0
point_of_sale.22191092,22191092,0.0
point_of_sale.22191096,22191096,14.0
point_of_sale.22191097,22191097,-2.0
point_of_sale.22200417,22200417,0.0
point_of_sale.22200521,22200521,0.0
point_of_sale.22200832,22200832,-22.0
point_of_sale.22230635,22230635,-1.0
point_of_sale.22231140,22231140,0.0
point_of_sale.22231141,22231141,0.0
point_of_sale.22231142,22231142,0.0
point_of_sale.22231228,22231228,0.0
point_of_sale.22231258,22231258,0.0
point_of_sale.22231280,22231280,0.0
point_of_sale.22250132,22250132,10.0
point_of_sale.23161305,23161305,-1.0
point_of_sale.24100305,24100305,5.0
point_of_sale.24100308,24100308,15.0
point_of_sale.24100314,24100314,30.0
point_of_sale.24100703,24100703,14.0
point_of_sale.24100704,24100704,0.0
point_of_sale.24100705,24100705,0.0
point_of_sale.24100807,24100807,0.0
point_of_sale.24100809,24100809,-2.0
point_of_sale.24100907,24100907,0.0
point_of_sale.24100908,24100908,0.0
point_of_sale.24101006,24101006,144.0
point_of_sale.24101031,24101031,0.0
point_of_sale.24101049,24101049,0.0
point_of_sale.24101050,24101050,3.0
point_of_sale.24101054,24101054,0.0
point_of_sale.24101055,24101055,5.0
point_of_sale.24101056,24101056,7.0
point_of_sale.24101064,24101064,-2.0
point_of_sale.24101067,24101067,0.0
point_of_sale.24101069,24101069,0.0
point_of_sale.24101073,24101073,-8.0
point_of_sale.24101076,24101076,10.0
point_of_sale.24101077,24101077,0.0
point_of_sale.24101087,24101087,0.0
point_of_sale.24101096,24101096,-1.0
point_of_sale.24101100,24101100,2.0
point_of_sale.24101109,24101109,36.0
point_of_sale.24101114,24101114,30.0
point_of_sale.24101121,24101121,16.0
point_of_sale.24101122,24101122,-2.0
point_of_sale.24101123,24101123,0.0
point_of_sale.24101155,24101155,0.0
point_of_sale.24101177,24101177,-1.0
point_of_sale.24101181,24101181,0.0
point_of_sale.24101194,24101194,10.0
point_of_sale.24101201,24101201,-1.0
point_of_sale.24101203,24101203,4.0
point_of_sale.24101205,24101205,0.0
point_of_sale.24101409,24101409,5.0
point_of_sale.24101414,24101414,-7.0
point_of_sale.24101416,24101416,0.0
point_of_sale.24101419,24101419,-217.0
point_of_sale.24101421,24101421,-6.0
point_of_sale.24101422,24101422,4.0
point_of_sale.24101423,24101423,0.0
point_of_sale.24101545,24101545,-11.0
point_of_sale.24101557,24101557,0.0
point_of_sale.24101720,24101720,0.0
point_of_sale.24101803,24101803,1.0
point_of_sale.24101804,24101804,14.0
point_of_sale.24101806,24101806,2.0
point_of_sale.24101829,24101829,0.0
point_of_sale.24101863,24101863,0.0
point_of_sale.24101879,24101879,0.0
point_of_sale.24101939,24101939,6.0
point_of_sale.24102002,24102002,0.0
point_of_sale.24102003,24102003,0.0
point_of_sale.24102023,24102023,0.0
point_of_sale.24110401,24110401,0.0
point_of_sale.24111024,24111024,13.0
point_of_sale.24111062,24111062,10.0
point_of_sale.24111065,24111065,10.0
