ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_199698_3b93dff5,__export__.product_product_14214_7e3a22e8,DD111018,312.0
__export__.stock_inventory_line_199782_c6c87107,__export__.product_product_14768_5eb4ee7d,DH101050,183.0
__export__.stock_inventory_line_199984_b1c45991,__export__.product_product_15823_326a23ad,DJ201132,6.0
__export__.stock_inventory_line_199986_ee5de27b,__export__.product_product_15835_8ecc8bc5,DJ201176,58.0
__export__.stock_inventory_line_200728_f2b2160e,__export__.product_product_23605_7b2467c0,JL401012,15.0
__export__.stock_inventory_line_198978_53593920,__export__.product_product_12929_f5f4388e,52DH1335,19.0
__export__.stock_inventory_line_198986_cd15bf0b,__export__.product_product_12951_f7b1e79b,52DH1531,23.0
__export__.stock_inventory_line_199008_ff44d238,__export__.product_product_13147_4e371160,52DU0104,35.0
__export__.stock_inventory_line_199761_e87dad1f,__export__.product_product_14583_695d257d,DG111008,218.0
__export__.stock_inventory_line_199846_0f13376b,__export__.product_product_15026_5a4d93da,DH111072,5.0
__export__.stock_inventory_line_200093_41a2edd0,__export__.product_product_16342_58194f41,DM101139,220.0
__export__.stock_inventory_line_200094_d1189d54,__export__.product_product_16343_04f3e8a2,DM101140,227.0
__export__.stock_inventory_line_200120_5a6d548a,__export__.product_product_16613_fd429184,DS101036,666.0
__export__.stock_inventory_line_200130_ddd93143,__export__.product_product_16638_8ddb947e,DS101096,101.0
__export__.stock_inventory_line_200375_3cf4fe5e,__export__.product_product_18166_db60c6c8,JA511006,19.0
__export__.stock_inventory_line_200384_9d5088c9,__export__.product_product_18195_c8f929bf,JA531011,93.0
__export__.stock_inventory_line_200394_38bdaf2e,__export__.product_product_18221_f8c7c29e,JA541212,373.0
__export__.stock_inventory_line_200432_f7a56705,__export__.product_product_18440_abc96635,JB511019,171.0
__export__.stock_inventory_line_200445_fe935ef8,__export__.product_product_18552_ae6fbde5,JC101034,65.0
__export__.stock_inventory_line_200509_9bffb4d2,__export__.product_product_18893_8c595228,JD521002,526.0
__export__.stock_inventory_line_200567_40a51435,__export__.product_product_19049_bdc197d3,JE541051,6.0
__export__.stock_inventory_line_198399_c4327a0b,__export__.product_product_37820_31c82540,24101100,8.0
__export__.stock_inventory_line_198951_3ae13837,__export__.product_product_38800_6693b5b9,52210040,6.0
__export__.stock_inventory_line_199616_49b8a342,__export__.product_product_47429_fcfa490a,BA132172,8.0
__export__.stock_inventory_line_198621_295dcf8c,__export__.product_product_11385_a84e059b,31151060,87.0
__export__.stock_inventory_line_198934_24449375,__export__.product_product_12753_805bbacd,39219019,441.0
__export__.stock_inventory_line_199698_3b93dff5,__export__.product_product_14214_7e3a22e8,DD111018,312.0
__export__.stock_inventory_line_207436_ddc0e126,__export__.product_product_14958_496d2e37,DH101877,35.0
__export__.stock_inventory_line_198394_9654d3e9,__export__.product_product_37808_6772fa1c,24101050,35.0
__export__.stock_inventory_line_198471_eb345914,__export__.product_product_38108_adc8cd62,24151171,88.0
__export__.stock_inventory_line_198565_bf2fcac0,__export__.product_product_11191_74ea9be3,30101096,205.0
__export__.stock_inventory_line_198618_a058d04e,__export__.product_product_11372_72b44663,31151021,107.0
__export__.stock_inventory_line_198638_d55c394a,__export__.product_product_38417_75502bfa,36152203,53.0
__export__.stock_inventory_line_198659_5a7715e8,__export__.product_product_38442_6d3f8198,36AA1003,56.0
__export__.stock_inventory_line_198704_3e630d7f,__export__.product_product_11477_53ef9cbb,36DD4008,114.0
__export__.stock_inventory_line_198725_b8e43506,__export__.product_product_11632_f03fb0a4,36DJ4104,46.0
__export__.stock_inventory_line_199211_4b3d1de8,__export__.product_product_38920_011cfcda,AA101210,633.0
__export__.stock_inventory_line_199240_62080964,__export__.product_product_38983_f7e823a8,AA101472,375.0
__export__.stock_inventory_line_199326_10121fa5,__export__.product_product_39184_addf96fb,AA121006,79.0
__export__.stock_inventory_line_199467_3bbba787,__export__.product_product_46846_92d82d48,AB171044,22.0
__export__.stock_inventory_line_199526_39fd1fcf,__export__.product_product_47142_6ac208e3,AN101123,26.0
__export__.stock_inventory_line_199543_541b9ac4,__export__.product_product_47169_058cd2ee,AN101190,32.0
__export__.stock_inventory_line_199933_f4d8afd5,__export__.product_product_15601_2f33e76c,DJ151071,68.0
__export__.stock_inventory_line_200090_31138057,__export__.product_product_16326_2ba4348d,DL181080,130.0
__export__.stock_inventory_line_200505_0154dd84,__export__.product_product_18884_48a84f25,JD511010,89.0
__export__.stock_inventory_line_199676_bfca9043,__export__.product_product_14110_99307f6f,CL201023,76.0
__export__.stock_inventory_line_199907_6528cd85,__export__.product_product_15461_9fa87c22,DJ101064,144.0
__export__.stock_inventory_line_198808_4c94357b,__export__.product_product_12191_a60fd7a0,36JW0014,44.0
__export__.stock_inventory_line_199008_ff44d238,__export__.product_product_13147_4e371160,52DU0104,35.0
__export__.stock_inventory_line_199123_a4131392,__export__.product_product_13767_ed823f1c,56DJ3X1Y,5.0
__export__.stock_inventory_line_199827_cdc5a512,__export__.product_product_14953_7d8396b7,DH101862,13.0
__export__.stock_inventory_line_207436_ddc0e126,__export__.product_product_14958_496d2e37,DH101877,35.0
__export__.stock_inventory_line_209518_667548ba,__export__.product_product_17354_e1fa0aec,DU151018,5.0
__export__.stock_inventory_line_213219_3f30f653,__export__.product_product_32044_e0875549,JZ181237,2.0
__export__.stock_inventory_line_210964_2fa55114,__export__.product_product_19102_0aa74999,JE551413,3.0
__export__.stock_inventory_line_198618_a058d04e,__export__.product_product_11372_72b44663,31151021,107.0
__export__.stock_inventory_line_198675_c504368b,__export__.product_product_38470_656a956e,36AA4050,28.0
__export__.stock_inventory_line_199024_524f6395,__export__.product_product_13229_294af31e,52JB0231,46.0
__export__.stock_inventory_line_199986_ee5de27b,__export__.product_product_15835_8ecc8bc5,DJ201176,58.0
__export__.stock_inventory_line_200276_15aaf0de,__export__.product_product_17481_42d456cb,DU201101,85.0
__export__.stock_inventory_line_200394_38bdaf2e,__export__.product_product_18221_f8c7c29e,JA541212,373.0
__export__.stock_inventory_line_201500_b68e9126,__export__.product_product_37761_9003b2ee,22170434,120.0
__export__.stock_inventory_line_198399_c4327a0b,__export__.product_product_37820_31c82540,24101100,8.0
__export__.stock_inventory_line_198409_1e88a2a8,__export__.product_product_37840_2ba9ae8f,24101545,29.0
__export__.stock_inventory_line_198528_95c50e05,__export__.product_product_38271_c0f4baaf,24191126,11.0
__export__.stock_inventory_line_198636_9edc3b05,__export__.product_product_38413_362e89e6,36011001,38.0
__export__.stock_inventory_line_203801_3753bb38,__export__.product_product_38827_076231a3,52AA0501,15.0
__export__.stock_inventory_line_202653_2b38cb10,__export__.product_product_11827_f6775ee3,36JA0002,10.0
__export__.stock_inventory_line_198834_a5bb3dc8,__export__.product_product_12380_448513ef,36PA0004,25.0
__export__.stock_inventory_line_199777_741793ee,__export__.product_product_14757_9da29210,DH101016,397.0
__export__.stock_inventory_line_199821_4a514dfc,__export__.product_product_14931_858b8efc,DH101680,58.0
__export__.stock_inventory_line_199851_87b6ca84,__export__.product_product_15056_33c87146,DH121093,16.0
__export__.stock_inventory_line_200309_b87cec08,__export__.product_product_17688_0d758ea2,DZ101075,11.0
__export__.stock_inventory_line_200387_2e009328,__export__.product_product_18202_1c7da4be,JA541011,48.0
__export__.stock_inventory_line_200392_4d9f5614,__export__.product_product_18217_3446076a,JA541205,189.0
__export__.stock_inventory_line_200495_0a499783,__export__.product_product_18819_e29bb597,JD231600,28.0
__export__.stock_inventory_line_200406_3ffbed0d,__export__.product_product_18274_8206c2fc,JA581006,51.0
__export__.stock_inventory_line_200441_3032b2a7,__export__.product_product_18471_c29916a9,JB581005,32.0
__export__.stock_inventory_line_200564_6557807a,__export__.product_product_19031_df340419,JE531001,20.0
__export__.stock_inventory_line_200848_a06beaeb,__export__.product_product_32097_ff44d795,JZ231601,12.0
__export__.stock_inventory_line_205062_480faca5,__export__.product_product_39169_7640e93d,AA111122,15.0
__export__.stock_inventory_line_205089_26a5bbdc,__export__.product_product_39213_8e55fa71,AA121142,10.0
__export__.stock_inventory_line_199954_2101fe49,__export__.product_product_15694_741f0d86,DJ181033,12.0
__export__.stock_inventory_line_199963_0b3efd7b,__export__.product_product_15745_9a47f35e,DJ191015,7.0
__export__.stock_inventory_line_200766_0524a0c0,__export__.product_product_23848_1d67e65b,JN181001,17.0
__export__.stock_inventory_line_198596_b43c4a26,__export__.product_product_11302_89b7fcaf,31101033,574.0
__export__.stock_inventory_line_198885_a575c4e9,__export__.product_product_38666_4cd4757b,39103519,884.0
__export__.stock_inventory_line_198891_f9123043,__export__.product_product_12644_aab814c5,39108019,185.0
__export__.stock_inventory_line_198934_24449375,__export__.product_product_12753_805bbacd,39219019,441.0
__export__.stock_inventory_line_199342_7debe6ec,__export__.product_product_39249_6b5e9159,AA121336,56.0
__export__.stock_inventory_line_199777_741793ee,__export__.product_product_14757_9da29210,DH101016,397.0
__export__.stock_inventory_line_199782_c6c87107,__export__.product_product_14768_5eb4ee7d,DH101050,183.0
__export__.stock_inventory_line_199986_ee5de27b,__export__.product_product_15835_8ecc8bc5,DJ201176,58.0
__export__.stock_inventory_line_200120_5a6d548a,__export__.product_product_16613_fd429184,DS101036,666.0
__export__.stock_inventory_line_200130_ddd93143,__export__.product_product_16638_8ddb947e,DS101096,101.0
__export__.stock_inventory_line_200206_c32e4746,__export__.product_product_16928_7242b1f9,DS201035,41.0
__export__.stock_inventory_line_200276_15aaf0de,__export__.product_product_17481_42d456cb,DU201101,85.0
