name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
,,AA111091,__export__.product_product_39159_0e061799,stock.stock_location_stock,11.0
,,AB181012,__export__.product_product_46850_cdd0ca3d,stock.stock_location_stock,136.0
,,AB181017,__export__.product_product_46852_d24e788e,stock.stock_location_stock,104.0
,,AN101166,__export__.product_product_47159_b9ffcaee,stock.stock_location_stock,48.0
,,DH101098,__export__.product_product_14781_ecd4ff37,stock.stock_location_stock,133.0
,,DH171013,__export__.product_product_15219_e4f9fa30,stock.stock_location_stock,74.0
,,DH201080,__export__.product_product_15316_cf028e48,stock.stock_location_stock,21.0
,,DJ101216,__export__.product_product_15484_254e9189,stock.stock_location_stock,35.0
,,DJ201183,__export__.product_product_15838_bece6fb9,stock.stock_location_stock,14.0
,,DU181031,__export__.product_product_17403_3e0627d5,stock.stock_location_stock,29.0
,,JD401007,__export__.product_product_18859_f431109b,stock.stock_location_stock,21.0
,,JN351604,__export__.product_product_23879_2b47923b,stock.stock_location_stock,13.0
PRIBDM2021081101604,True,03100620,__export__.product_product_37565_cfd0d97c,stock.stock_location_stock,10.0
,,03100621,__export__.product_product_37566_0308e93c,stock.stock_location_stock,14.0
,,39143520,__export__.product_product_38697_9439cf71,stock.stock_location_stock,58.0
,,39252820,__export__.product_product_38788_a77820ea,stock.stock_location_stock,104.0
,,SVA0013,__export__.product_product_47881_a00bdbc4,stock.stock_location_stock,30.0
PRIBDM2021081101606,True,AA101750,__export__.product_product_39048_6fbb62ab,stock.stock_location_stock,41.0
,,AA111094,__export__.product_product_39162_513ab025,stock.stock_location_stock,5.0
,,CB101114,__export__.product_product_14089_b5e6aa2d,stock.stock_location_stock,115.0
,,JD511010,__export__.product_product_18884_48a84f25,stock.stock_location_stock,60.0
PRIBDM2021081101608,True,DT171814,__export__.product_product_17095_b7f6d0f0,stock.stock_location_stock,7.0
,,JE511251,__export__.product_product_19026_b6fe3963,stock.stock_location_stock,2.0
,,JL541208,__export__.product_product_23680_a0920f9f,stock.stock_location_stock,37.0
,,JP401018,__export__.product_product_24027_57c2bbcf,stock.stock_location_stock,1.0
,,36JU0074,__export__.product_product_12166_b06a2763,stock.stock_location_stock,2.0
,,JP151004,__export__.product_product_23955_f550e2dd,stock.stock_location_stock,1.0
,,DT401003,__export__.product_product_17175_1629141a,stock.stock_location_stock,1.0
,,36JU0114,__export__.product_product_12168_b9038c33,stock.stock_location_stock,2.0
,,JP113030,__export__.product_product_23934_ef908469,stock.stock_location_stock,1.0
,,JG161014,__export__.product_product_22644_854a56b8,stock.stock_location_stock,1.0
,,36JU0019,__export__.product_product_12151_c09a3e2d,stock.stock_location_stock,2.0
