ID,Product/Product/ID,Point of Sale Category,Internal Reference,Quantity On Hand,Sales Price,Cost,Updated Sales Price,Updated Cost,Status
13970,__export__.product_product_13967_6c7c993f,Bajaj / 2W,58038022000,0.0,970.0,970.0,,,
46973,__export__.product_product_46970_13a65fe2,Bajaj / 3W,AL121068,0.0,630.0,630.0,,,
47140,__export__.product_product_47137_a89f7497,Bajaj / 3W,AN101085,0.0,10.0,10.0,,,
47239,__export__.product_product_47236_592f80e4,Bajaj / 3W,AN131039,412.0,90.0,90.0,,,
39050,__export__.product_product_39047_6534de47,Bajaj / 3W,AA101747,0.0,40.0,40.0,,,
47228,__export__.product_product_47225_1bc990ee,Bajaj / 3W,AN121082,62.0,80.0,80.0,,,
23767,__export__.product_product_23764_3a7e2106,Bajaj / 2W,JL601225,0.0,80.0,80.0,,,
17234,__export__.product_product_17231_ed3a2366,Bajaj / 2W,DT581028,0.0,60.0,60.0,,,
23717,__export__.product_product_23714_1d2055f9,Bajaj / 2W,JL581025,0.0,90.0,90.0,,,
38079,__export__.product_product_38076_63530f7d,Bajaj / 3W,24151092,0.0,70.0,70.0,,,
16077,__export__.product_product_16074_d74801b2,Bajaj / 2W,DK151012,3.0,420.0,420.0,,,
46874,__export__.product_product_46871_67b5c50a,Bajaj / 3W,AB201087,0.0,45.0,45.0,,,
18154,__export__.product_product_18151_c8c093d4,Bajaj / 2W,JA351606,0.0,250.0,250.0,,,
37455,__export__.product_product_37452_aef244e3,Bajaj / 2W,YPA13008,0.0,30.0,30.0,,,
37489,__export__.product_product_37486_da06b97b,Bajaj / 2W,YPF08006,0.0,20.0,20.0,,,
37439,__export__.product_product_37436_6f2f1800,Bajaj / 2W,YJL02004,0.0,40.0,40.0,,,
37464,__export__.product_product_37461_493e4ce7,Bajaj / 2W,YPA13019,0.0,55.0,55.0,,,
37456,__export__.product_product_37453_c84aaf48,Bajaj / 2W,YPA13009,0.0,50.0,50.0,,,
13576,__export__.product_product_13573_5aa1e238,Bajaj / 2W,52JZ0099,1.0,2950.0,2950.0,,,
38373,__export__.product_product_38370_351bf3f2,Bajaj / 3W,28101129,23.0,210.0,210.0,,,
16880,__export__.product_product_16877_942c1d4b,Bajaj / 2W,DS181085,0.0,210.0,210.0,,,
14672,__export__.product_product_14669_5e43a6dc,Bajaj / 2W,DG181015,0.0,15.0,15.0,,,
37934,__export__.product_product_37931_b9e56940,Bajaj / 3W,24121300,0.0,115.0,115.0,,,
39072,__export__.product_product_39069_dd33875c,Bajaj / 3W,AA101843,1.0,330.0,330.0,,,
37946,__export__.product_product_37943_61108fe9,Bajaj / 3W,24121313,0.0,100.0,100.0,,,
23230,__export__.product_product_23227_36101cd1,Bajaj / 2W,JK191003,0.0,8620.0,8620.0,,,
32085,__export__.product_product_32082_a829f013,Bajaj / 2W,JZ191006,0.0,7660.0,7660.0,,,
14723,__export__.product_product_14720_93d517d6,Bajaj / 2W,DG211001,0.0,5605.0,5605.0,,,
18809,__export__.product_product_18806_742df58b,Bajaj / 2W,JD191018,0.0,3590.0,3590.0,,,
32829,__export__.product_product_32826_4eac6dfa,Bajaj / 2W,PA191026,0.0,9980.0,9980.0,,,
33095,__export__.product_product_33092_5ce2e069,Bajaj / 2W,PD191009,0.0,13870.0,13870.0,,,
32826,__export__.product_product_32823_483c764d,Bajaj / 2W,PA191000,0.0,4150.0,4150.0,,,
15335,__export__.product_product_15332_1525a99b,Bajaj / 2W,DH211012,0.0,7750.0,7750.0,,,
15867,__export__.product_product_15864_619e8382,Bajaj / 2W,DJ211003,0.0,9400.0,9400.0,,,
17495,__export__.product_product_17492_15dc8035,Bajaj / 2W,DU211001,0.0,8470.0,8470.0,,,
32088,__export__.product_product_32085_1d4751a9,Bajaj / 2W,JZ191030,0.0,3160.0,3160.0,,,
16281,__export__.product_product_16278_b63021f4,Bajaj / 2W,DK211001,0.0,13150.0,13150.0,,,
24075,__export__.product_product_24072_045d3c6a,Bajaj / 2W,JU191001,0.0,2060.0,2060.0,,,
