External ID,Internal Reference,Sales Price,Cost
point_of_sale.PA402419,PA402419,865.0,865.0
point_of_sale.PA402421,PA402421,2720.0,2720.0
point_of_sale.PA402422,PA402422,19740.0,19740.0
point_of_sale.PA402423,PA402423,3560.0,3560.0
point_of_sale.PA402426,PA402426,1175.0,1175.0
point_of_sale.PA402436,PA402436,20040.0,20040.0
point_of_sale.PA402440,PA402440,18280.0,18280.0
point_of_sale.PA402444,PA402444,49390.0,49390.0
point_of_sale.PA402601,PA402601,4410.0,4410.0
point_of_sale.PA511039,PA511039,200.0,200.0
point_of_sale.PA511098,PA511098,1420.0,1420.0
point_of_sale.PA511215,PA511215,4680.0,4680.0
point_of_sale.PA511224,PA511224,45.0,45.0
point_of_sale.PA511228,PA511228,1770.0,1770.0
point_of_sale.PA511229,PA511229,3780.0,3780.0
point_of_sale.PA511232,PA511232,2980.0,2980.0
point_of_sale.PA511234,PA511234,5980.0,5980.0
point_of_sale.PA511246,PA511246,9490.0,9490.0
point_of_sale.PA521214,PA521214,20.0,20.0
point_of_sale.PA531025,PA531025,12830.0,12830.0
point_of_sale.PA531029,PA531029,29550.0,29550.0
point_of_sale.PA541011,PA541011,18140.0,18140.0
point_of_sale.PA541026,PA541026,36230.0,36230.0
point_of_sale.PA541208,PA541208,3350.0,3350.0
point_of_sale.PA541210,PA541210,10.0,10.0
point_of_sale.PA541213,PA541213,20.0,20.0
point_of_sale.PA541217,PA541217,1050.0,1050.0
point_of_sale.PA541224,PA541224,75.0,75.0
point_of_sale.PA551002,PA551002,3650.0,3650.0
point_of_sale.PA551205,PA551205,815.0,815.0
point_of_sale.PA551206,PA551206,2900.0,2900.0
point_of_sale.PA551207,PA551207,2560.0,2560.0
point_of_sale.PA551405,PA551405,230.0,230.0
point_of_sale.PA561000,PA561000,1990.0,1990.0
point_of_sale.PA561002,PA561002,930.0,930.0
point_of_sale.PA561005,PA561005,1840.0,1840.0
point_of_sale.PA561209,PA561209,650.0,650.0
point_of_sale.PA561402,PA561402,2930.0,2930.0
point_of_sale.PA581029,PA581029,2870.0,2870.0
point_of_sale.PA581034,PA581034,250.0,250.0
point_of_sale.PA581038,PA581038,8970.0,8970.0
point_of_sale.PA581039,PA581039,3610.0,3610.0
point_of_sale.PA581042,PA581042,4060.0,4060.0
point_of_sale.PA581053,PA581053,25.0,25.0
point_of_sale.PA581205,PA581205,65.0,65.0
point_of_sale.PA581220,PA581220,95.0,95.0
point_of_sale.PA581224,PA581224,35.0,35.0
point_of_sale.PA581225,PA581225,770.0,770.0
point_of_sale.PA581226,PA581226,41050.0,41050.0
point_of_sale.PA581227,PA581227,200.0,200.0
point_of_sale.PA581228,PA581228,8100.0,8100.0
point_of_sale.PA581406,PA581406,45.0,45.0
point_of_sale.PA581407,PA581407,310.0,310.0
point_of_sale.PA581409,PA581409,390.0,390.0
point_of_sale.PA591120,PA591120,1300.0,1300.0
point_of_sale.PA621005,PA621005,620.0,620.0
point_of_sale.PA621006,PA621006,2820.0,2820.0
point_of_sale.PA621007,PA621007,2290.0,2290.0
point_of_sale.PA621008,PA621008,435.0,435.0
point_of_sale.PA621203,PA621203,7400.0,7400.0
point_of_sale.PA71013B,PA71013B,27460.0,27460.0
point_of_sale.PA71013C,PA71013C,26760.0,26760.0
point_of_sale.PA71013E,PA71013E,16475.0,16475.0
point_of_sale.PA71013F,PA71013F,13320.0,13320.0
point_of_sale.PA71014N,PA71014N,21200.0,21200.0
point_of_sale.PA71043C,PA71043C,20910.0,20910.0
point_of_sale.PA71043F,PA71043F,20690.0,20690.0
point_of_sale.PA71045R,PA71045R,23170.0,23170.0
point_of_sale.PA71045V,PA71045V,22050.0,22050.0
point_of_sale.PA71045W,PA71045W,24950.0,24950.0
