ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_297675_94a6f8ea,__export__.product_product_33469_c39dad84,PF581044,10.0
__export__.stock_inventory_line_281753_6a111fd7,__export__.product_product_11484_b4fb17ca,36DH1003,24.0
__export__.stock_inventory_line_285707_863b8ff9,__export__.product_product_11829_81421b21,36JA0004,25.0
__export__.stock_inventory_line_281843_4926011c,__export__.product_product_12044_fc5db168,36JL0001,8.0
__export__.stock_inventory_line_281885_cf636af5,__export__.product_product_12394_0952df2a,36PA0115,10.0
__export__.stock_inventory_line_282972_fb03cd7b,__export__.product_product_15530_fdca2634,DJ111098,3.0
__export__.stock_inventory_line_283419_a42cf3a8,__export__.product_product_18143_fb4c35d2,JA351200,6.0
__export__.stock_inventory_line_293495_778e0af7,__export__.product_product_18445_64be1fef,JB531005,20.0
__export__.stock_inventory_line_284105_d05fd1ec,__export__.product_product_33350_c2de31ee,PF351024,2.0
__export__.stock_inventory_line_295216_bd5ccc52,__export__.product_product_23624_c7850ed6,JL402004,9.0
__export__.stock_inventory_line_290537_399ea296,__export__.product_product_15037_3e232f8b,DH111117,8.0
__export__.stock_inventory_line_292436_bfd87151,__export__.product_product_17193_bf34efc0,DT402006,3.0
__export__.stock_inventory_line_296348_efdfeb84,__export__.product_product_32136_6f26d458,JZ351215,2.0
__export__.stock_inventory_line_292820_11dfb100,__export__.product_product_17665_526d63c3,DY351004,1.0
__export__.stock_inventory_line_285669_5108e69c,__export__.product_product_11782_1a386292,36DU4017,25.0
__export__.stock_inventory_line_281970_5b9af7e4,__export__.product_product_38766_b65fe418,39193120,27.0
__export__.stock_inventory_line_288232_ce69068d,__export__.product_product_39360_ec9e5a33,AA191010,15.0
__export__.stock_inventory_line_282778_0461e645,__export__.product_product_14349_fa74109d,DD191142,20.0
__export__.stock_inventory_line_283556_db418fa4,__export__.product_product_18885_785341a9,JD511201,34.0
__export__.stock_inventory_line_283557_d8989f04,__export__.product_product_18886_cdf248f5,JD511202,23.0
__export__.stock_inventory_line_283558_99039cf9,__export__.product_product_18890_844fb5f3,JD511207,28.0
__export__.stock_inventory_line_282855_72f6a4e6,__export__.product_product_14814_7cbd90b7,DH101195,106.0
__export__.stock_inventory_line_282998_fe3def49,__export__.product_product_15639_76568d7a,DJ161126,9.0
__export__.stock_inventory_line_283025_2dfa11e3,__export__.product_product_15765_d2da3119,DJ191054,16.0
__export__.stock_inventory_line_283030_0660bfed,__export__.product_product_15776_d50d7b50,DJ191081,41.0
__export__.stock_inventory_line_283031_d3608424,__export__.product_product_15778_319c342d,DJ191083,18.0
__export__.stock_inventory_line_290736_579e7d30,__export__.product_product_15271_aecab785,DH191001,5.0
__export__.stock_inventory_line_286508_64d8e347,__export__.product_product_12616_46111dd2,39099206,100.0
__export__.stock_inventory_line_295019_2ac1edf6,__export__.product_product_23407_3360b4ae,JL151021,5.0
__export__.stock_inventory_line_282288_9fdc30b1,__export__.product_product_38972_d704bdb5,AA101446,100.0
__export__.stock_inventory_line_283555_6ab60f97,__export__.product_product_18884_48a84f25,JD511010,84.0
__export__.stock_inventory_line_292648_aa6f31ff,__export__.product_product_17459_bbc24de0,DU201008,25.0
__export__.stock_inventory_line_283320_6a5cdd3a,__export__.product_product_17460_8ed1dc65,DU201010,26.0
__export__.stock_inventory_line_281600_ec38fb4d,__export__.product_product_38360_689c6d46,25201009,1.0
__export__.stock_inventory_line_292622_2a694e0d,__export__.product_product_17422_31dc3d4f,DU181107,1.0
__export__.stock_inventory_line_282657_a1b0295b,__export__.product_product_49933_29706c17,AZ161000(YL),6.0
__export__.stock_inventory_line_282009_a1bb2166,__export__.product_product_49910_8bf471c6,52244040(YL),4.0
__export__.stock_inventory_line_282012_8d1ec774,__export__.product_product_49897_223bbfdf,52AB0098(YL),4.0
__export__.stock_inventory_line_288312_dd30aef4,__export__.product_product_46753_15f6ed08,AA221005,1.0
__export__.stock_inventory_line_283191_834de38c,__export__.product_product_16690_9cb03956,DS101277,-1.0
__export__.stock_inventory_line_294372_b34073e0,__export__.product_product_22666_c273c405,JG171802,1.0
__export__.stock_inventory_line_283919_d7fd4db8,__export__.product_product_32186_251cbe2d,JZ511016,52.0
__export__.stock_inventory_line_282567_778424aa,__export__.product_product_47080_cd8419be,AL201051,0.0
__export__.stock_inventory_line_284785_d8ca235f,__export__.product_product_38068_81978363,24151059,1.0
__export__.stock_inventory_line_284733_19c60770,__export__.product_product_37995_6fa73267,24130118,1.0
__export__.stock_inventory_line_283432_c7f03264,__export__.product_product_18189_6dbcc5a2,JA521017,45.0
__export__.stock_inventory_line_283450_0fde1f27,__export__.product_product_18252_c36ab937,JA551414,10.0
__export__.stock_inventory_line_282404_0b98916b,__export__.product_product_39258_e10b1e2d,AA131036,2.0
__export__.stock_inventory_line_283306_40e0852d,__export__.product_product_17403_3e0627d5,DU181031,0.0
__export__.stock_inventory_line_283325_c9226823,__export__.product_product_17481_42d456cb,DU201101,92.0
__export__.stock_inventory_line_287163_d70d8dc6,__export__.product_product_13162_6041a431,52DU0577,1.0
__export__.stock_inventory_line_281695_7110b3de,__export__.product_product_38440_8b28e8e0,36281008,26.0
__export__.stock_inventory_line_282272_607d7808,__export__.product_product_38937_5867838e,AA101261,0.0
__export__.stock_inventory_line_283183_2f6e6f3f,__export__.product_product_16638_8ddb947e,DS101096,91.0
__export__.stock_inventory_line_282052_8e2e0609,__export__.product_product_13038_e509ac88,52DJ0566,3.0
__export__.stock_inventory_line_283009_761d8829,__export__.product_product_15694_741f0d86,DJ181033,9.0
__export__.stock_inventory_line_283043_dead69cd,__export__.product_product_15835_8ecc8bc5,DJ201176,56.0
__export__.stock_inventory_line_283047_51036134,__export__.product_product_15846_788a2c4e,DJ201206,26.0
__export__.stock_inventory_line_283048_df91d4f4,__export__.product_product_15847_1f9fe42a,DJ201207,23.0
__export__.stock_inventory_line_283126_66a5985c,__export__.product_product_16238_7969ac97,DK181082,6.0
__export__.stock_inventory_line_282669_7708b044,__export__.product_product_47426_63b35f52,BA132141,54.0
__export__.stock_inventory_line_282493_21d2078a,__export__.product_product_46770_4a6c5144,AA231255,7.0
__export__.stock_inventory_line_282297_4a76ff18,__export__.product_product_38989_1805047e,AA101481,41.0
__export__.stock_inventory_line_283437_eff664fd,__export__.product_product_18202_1c7da4be,JA541011,43.0
__export__.stock_inventory_line_281933_62024db3,__export__.product_product_12634_792e3269,39104119,16.0
__export__.stock_inventory_line_281798_53b05ad2,__export__.product_product_11776_45d21b56,36DU1503,63.0
__export__.stock_inventory_line_281946_77435379,__export__.product_product_38689_7943a834,39137704,48.0
__export__.stock_inventory_line_282392_2150dffc,__export__.product_product_39220_c04a2442,AA121187,4.0
__export__.stock_inventory_line_285553_1b63bdb9,__export__.product_product_11642_c8bc602d,36DK0015,-1.0
__export__.stock_inventory_line_282706_d9a68ef3,__export__.product_product_47578_86d7d44c,BG113802,20.0
__export__.stock_inventory_line_282707_d5cf4696,__export__.product_product_47579_1d16e2a1,BG113803,12.0
__export__.stock_inventory_line_284093_7d6ffd09,__export__.product_product_33299_0240800c,PF161227,1.0
__export__.stock_inventory_line_283319_d26c1c17,__export__.product_product_17451_fac07d6d,DU191047,14.0
__export__.stock_inventory_line_282311_d330f754,__export__.product_product_39015_b022c039,AA101597,19.0
__export__.stock_inventory_line_281483_56b9e7fe,__export__.product_product_37983_a549beba,24121652,-3.0
__export__.stock_inventory_line_283879_4786dd39,__export__.product_product_31970_ec35c7d0,JZ151036,6.0
__export__.stock_inventory_line_297285_b205c18b,__export__.product_product_32984_92d0165c,PA72013B,-1.0
__export__.stock_inventory_line_283134_26848852,__export__.product_product_16264_695765d1,DK201050,14.0
__export__.stock_inventory_line_283135_16e831b9,__export__.product_product_16265_7e1d7285,DK201051,1.0
__export__.stock_inventory_line_282651_4cdb8f0c,__export__.product_product_14061_dd5f9676,AP201029,17.0
__export__.stock_inventory_line_281696_84cc807d,__export__.product_product_11456_4154bc3e,36311006,75.0
__export__.stock_inventory_line_281701_fb21d842,__export__.product_product_11459_97dc2790,36311028,73.0
__export__.stock_inventory_line_282871_439ecdde,__export__.product_product_14894_bd7ce436,DH101520,52.0
__export__.stock_inventory_line_282758_26676b49,__export__.product_product_14243_470851c1,DD121181,539.0
__export__.stock_inventory_line_283345_f7649521,__export__.product_product_17630_cc6741f2,DX121010,61.0
__export__.stock_inventory_line_283820_341f8215,__export__.product_product_23848_1d67e65b,JN181001,13.0
__export__.stock_inventory_line_283289_cc5f2a3a,__export__.product_product_17291_dc76456a,DU101218,53.0
__export__.stock_inventory_line_281750_732425fb,__export__.product_product_11474_3b9de8b0,36DD4002,-12.0
__export__.stock_inventory_line_283848_e4ac4bca,__export__.product_product_24185_00de8444,JW131809,7.0
__export__.stock_inventory_line_283189_66228737,__export__.product_product_16669_a7918cf8,DS101198,3.0
__export__.stock_inventory_line_281644_fabd6cfa,__export__.product_product_11302_89b7fcaf,31101033,556.0
__export__.stock_inventory_line_283013_5f181346,__export__.product_product_15715_5440f108,DJ181087,112.0
__export__.stock_inventory_line_283181_51262451,__export__.product_product_16633_2e546c31,DS101076,-8.0
__export__.stock_inventory_line_281797_ac0e4eb6,__export__.product_product_11773_dc7dfd0d,36DU1205,61.0
__export__.stock_inventory_line_281978_1eb03b86,__export__.product_product_38774_03904688,39213319,30.0
__export__.stock_inventory_line_282223_93bac34d,__export__.product_product_49863_c690339a,6305(NACHi),76.0
__export__.stock_inventory_line_282207_83d9b87a,__export__.product_product_49865_9ea94de1,6004(NACHi),26.0
__export__.stock_inventory_line_284102_b9056dc5,__export__.product_product_33340_b7d2f7fd,PF232603,1.0
__export__.stock_inventory_line_281619_219c5b97,__export__.product_product_11215_79c3a17e,30141052,24.0
__export__.stock_inventory_line_283312_ecac06ff,__export__.product_product_17429_aef1cffa,DU191006,25.0
__export__.stock_inventory_line_283888_785d3e87,__export__.product_product_32006_26924e22,JZ161204,1.0
__export__.stock_inventory_line_282732_9a4fd771,__export__.product_product_14110_99307f6f,CL201023,95.0
__export__.stock_inventory_line_282969_592e7c01,__export__.product_product_15504_5c371821,DJ101371,3.0
__export__.stock_inventory_line_283495_838100c0,__export__.product_product_18552_ae6fbde5,JC101034,62.0
__export__.stock_inventory_line_283853_17db869b,__export__.product_product_24236_ca7296d1,JW351400,0.0
__export__.stock_inventory_line_281627_074574b3,__export__.product_product_11238_926c2a15,30151105,74.0
__export__.stock_inventory_line_282312_b3e0ae77,__export__.product_product_39016_87c85ca4,AA101598,20.0
__export__.stock_inventory_line_282246_fdb281dd,__export__.product_product_38888_7cc08691,AA101077,18.0
__export__.stock_inventory_line_283290_7a3d139b,__export__.product_product_17294_f3ca2b70,DU101223,10.0
__export__.stock_inventory_line_281669_87044201,__export__.product_product_11385_a84e059b,31151060,79.0
__export__.stock_inventory_line_281943_554e9cfe,__export__.product_product_38685_3347ae00,39128321,61.0
__export__.stock_inventory_line_282754_5074e20e,__export__.product_product_14214_7e3a22e8,DD111018,308.0
__export__.stock_inventory_line_283434_23830b34,__export__.product_product_18195_c8f929bf,JA531011,89.0
__export__.stock_inventory_line_281879_c173b50c,__export__.product_product_12378_d2add5a9,36PA0002,16.0
__export__.stock_inventory_line_281881_0f73a35d,__export__.product_product_12380_448513ef,36PA0004,21.0
__export__.stock_inventory_line_282846_dd8b5a76,__export__.product_product_14790_feac39ca,DH101125,2.0
__export__.stock_inventory_line_281752_0b612aef,__export__.product_product_11477_53ef9cbb,36DD4008,108.0
__export__.stock_inventory_line_283274_07496866,__export__.product_product_17261_42c89692,DU101060,1.0
__export__.stock_inventory_line_295403_4c87c442,__export__.product_product_23844_75ae4635,JN151006,1.0
__export__.stock_inventory_line_282322_39148a79,__export__.product_product_39038_6094943f,AA101708,27.0
__export__.stock_inventory_line_282284_76271ee1,__export__.product_product_38967_4aadccb9,AA101392,20.0
__export__.stock_inventory_line_282318_7ed53131,__export__.product_product_39029_16dbb117,AA101666,18.0
__export__.stock_inventory_line_281944_b373291a,__export__.product_product_38686_37751b93,39132420,14.0
__export__.stock_inventory_line_281386_5772015a,__export__.product_product_37584_f5648c75,05101018,35.0
__export__.stock_inventory_line_281447_c8bbe978,__export__.product_product_37822_a4ad1f0e,24101114,19.0
__export__.stock_inventory_line_281455_4d764194,__export__.product_product_37840_2ba9ae8f,24101545,27.0
__export__.stock_inventory_line_281516_9a53b7f2,__export__.product_product_38108_adc8cd62,24151171,106.0
__export__.stock_inventory_line_281380_7be86502,__export__.product_product_37562_f522a1f2,03100338,48.0
__export__.stock_inventory_line_282904_d1d0f6f0,__export__.product_product_15020_1a12903d,DH111034,41.0
__export__.stock_inventory_line_283144_ddbd5881,__export__.product_product_16326_2ba4348d,DL181080,106.0
__export__.stock_inventory_line_282859_54f693d5,__export__.product_product_14844_8bf469c1,DH101344,29.0
__export__.stock_inventory_line_283194_948e3ced,__export__.product_product_16698_51e74b4f,DS101319,11.0
__export__.stock_inventory_line_281758_a766b023,__export__.product_product_11508_83130106,36DH4025,36.0
__export__.stock_inventory_line_282876_41f1e5af,__export__.product_product_14908_01b8c387,DH101557,49.0
__export__.stock_inventory_line_281685_a2296954,__export__.product_product_38415_f1e95bac,36102401,7.0
__export__.stock_inventory_line_282926_611ff535,__export__.product_product_15152_f4515635,DH161194,40.0
__export__.stock_inventory_line_282550_46121fc2,__export__.product_product_46951_c231835c,AF201036,103.0
__export__.stock_inventory_line_282203_21ba4454,__export__.product_product_49873_272a0d91,6002(NACHi),-24.0
__export__.stock_inventory_line_282205_af92c133,__export__.product_product_49872_2ea485a6,6003(NACHi),-15.0
__export__.stock_inventory_line_281932_16c90b1d,__export__.product_product_38666_4cd4757b,39103519,1130.0
__export__.stock_inventory_line_281786_1a638301,__export__.product_product_11704_29d95dc6,36DS1002,49.0
__export__.stock_inventory_line_281976_2b6e8385,__export__.product_product_12732_708a75a8,39201719,44.0
__export__.stock_inventory_line_282728_47b183fa,__export__.product_product_47671_3639753f,CD101082,27.0
__export__.stock_inventory_line_282532_290a1016,__export__.product_product_46881_536b8e7f,AE101014,7.0
__export__.stock_inventory_line_281379_a01754ae,__export__.product_product_37561_01143331,03100335,37.0
__export__.stock_inventory_line_281692_128145e5,__export__.product_product_38429_e8a114d2,36241010,52.0
__export__.stock_inventory_line_281684_5d659718,__export__.product_product_38413_362e89e6,36011001,36.0
__export__.stock_inventory_line_281689_95ad635d,__export__.product_product_38421_83971ade,36222256,40.0
__export__.stock_inventory_line_281436_31ea4f83,__export__.product_product_37796_e24a507d,24100308,10.0
__export__.stock_inventory_line_281494_6d028ca9,__export__.product_product_38009_27bcc3e7,24131046,15.0
