name,Accounting Date,Product/Internal Reference,Counted Quantity
PRIBDM2022012908923,2022-01-29,39219019,1.0
PRIBDM2022012908923,2022-01-29,DJ191055,20.0
PRIBDM2022012908923,2022-01-29,DJ191083,20.0
PRIBDM2022012908926,2022-01-29,24101121,15.0
PRIBDM2022012908926,2022-01-29,24160924,30.0
PRIBDM2022012908926,2022-01-29,36AA1003K,50.0
PRIBDM2022012908926,2022-01-29,36AA4042,25.0
PRIBDM2022012908926,2022-01-29,AA111085,30.0
PRIBDM2022012908926,2022-01-29,AA111132,6.0
PRIBDM2022012908926,2022-01-29,AL201017,6.0
PRIBDM2022012908926,2022-01-29,AL201051,10.0
PRIBDM2022012908926,2022-01-29,39103519,200.0
PRIBDM2022012908926,2022-01-29,39201719,200.0
PRIBDM2022012908926,2022-01-29,AB181012,50.0
PRIBDM2022012908926,2022-01-29,AF111010,15.0
PRIBDM2022012908926,2022-01-29,AP111023,30.0
PRIBDM2022012908926,2022-01-29,AP201029,15.0
PRIBDM2022012908926,2022-01-29,BH151092,10.0
PRIBDM2022012908926,2022-01-29,BH151093,20.0
PRIBDM2022012908926,2022-01-29,BH151097,10.0
PRIBDM2022012908926,2022-01-29,BH151094,5.0
PRIBDM2022012908926,2022-01-29,BH151095,10.0
PRIBDM2022012908926,2022-01-29,BH151096,10.0
PRIBDM2022012908926,2022-01-29,DK181019,25.0
PRIBDM2022012908926,2022-01-29,DS101096,100.0
PRIBDM2022012908926,2022-01-29,JL402412,1.0
PRIBDM2022012908926,2022-01-29,JZ73043B,4.0
PRIBDM2022012908926,2022-01-29,39240320,30.0
PRIBDM2022012908926,2022-01-29,AA101033,3.0
PRIBDM2022012908926,2022-01-29,DH161194,30.0
PRIBDM2022012908926,2022-01-29,DH201080,25.0
PRIBDM2022012908926,2022-01-29,DJ151053,30.0
PRIBDM2022012908926,2022-01-29,JL401002,3.0
PRIBDM2022012908926,2022-01-29,JL402004,6.0
PRIBDM2022012908929,2022-01-29,SVA0004,25.0
PRIBDM2022012908934,2022-01-29,36DD4002,30.0
PRIBDM2022012908934,2022-01-29,AA121010,50.0
PRIBDM2022012908934,2022-01-29,AN101149,30.0
PRIBDM2022012908934,2022-01-29,DH101016,100.0
PRIBDM2022012908934,2022-01-29,DH101033,50.0
PRIBDM2022012908934,2022-01-29,JV511012,20.0
PRIBDM2022012908934,2022-01-29,JE521030,20.0
PRIBDM2022012908934,2022-01-29,JZ511016,30.0
PRIBDM2022012908934,2022-01-29,JA511006,30.0
PRIBDM2022012908934,2022-01-29,JA511012,15.0
PRIBDM2022012908937,2022-01-29,24131016,10.0
PRIBDM2022012908937,2022-01-29,31101020,30.0
PRIBDM2022012908937,2022-01-29,31111058,15.0
PRIBDM2022012908937,2022-01-29,AA111147,20.0
PRIBDM2022012908937,2022-01-29,AA111157,20.0
PRIBDM2022012908937,2022-01-29,AL201012,30.0
PRIBDM2022012908937,2022-01-29,AN111013,5.0
PRIBDM2022012908937,2022-01-29,AN111015,20.0
PRIBDM2022012908937,2022-01-29,DD121181,100.0
PRIBDM2022012908937,2022-01-29,JH351602,2.0
PRIBDM2022012908937,2022-01-29,JA541021,20.0
PRIBDM2022012908937,2022-01-29,DK101755,20.0
PRIBDM2022012908937,2022-01-29,JD511207,10.0
PRIBDM2022012908937,2022-01-29,DZ191014,30.0
PRIBDM2022012908943,2022-01-29,36311006,100.0
PRIBDM2022012908943,2022-01-29,36DD4008K,50.0
PRIBDM2022012908943,2022-01-29,39215220,25.0
PRIBDM2022012908943,2022-01-29,AA101472,120.0
PRIBDM2022012908943,2022-01-29,AA191064,15.0
PRIBDM2022012908943,2022-01-29,AP151017,2.0
PRIBDM2022012908943,2022-01-29,DS121004,20.0
PRIRSQ2022012908932,2022-01-29,24151097,6.0
PRIRSQ2022012908932,2022-01-29,30151105,30.0
PRIRSQ2022012908932,2022-01-29,31151060,20.0
PRIRSQ2022012908932,2022-01-29,BH184000,15.0
PRIRSQ2022012908940,2022-01-29,30151105,50.0
PRIRSQ2022012908940,2022-01-29,31151060,50.0
PRIRSQ2022012908940,2022-01-29,52240760,12.0
PRIRSQ2022012908940,2022-01-29,AA101499,50.0
PRIRSQ2022012908946,2022-01-29,24111099,10.0
PRIRSQ2022012908946,2022-01-29,24121066,10.0
PRIRSQ2022012908946,2022-01-29,24161368,5.0
PRIRSQ2022012908946,2022-01-29,24201421,10.0
PRIRSQ2022012908946,2022-01-29,36AA4018,30.0
PRIRSQ2022012908946,2022-01-29,36BA4042,20.0
PRIRSQ2022012908946,2022-01-29,39171905,30.0
PRIRSQ2022012908946,2022-01-29,AA231223,10.0
PRIRSQ2022012908946,2022-01-29,AL121062,15.0
PRIRSQ2022012908946,2022-01-29,AN101328,10.0
PRIRSQ2022012908946,2022-01-29,DH171013,30.0
PRIRSQ2022012908946,2022-01-29,DJ101063,3.0
PRIRSQ2022012908946,2022-01-29,JL181464,2.0
PRIRSQ2022012908946,2022-01-29,AN101181,20.0
PRIRSQ2022012908946,2022-01-29,DF121003,15.0
PRIRSQ2022012908946,2022-01-29,DX101045,20.0
PRIRSQ2022012908946,2022-01-29,DK101248,6.0
