name,Product/Internal Reference,Counted Quantity
Sales of 2021/11/16,AA191094,-5.0
Sales of 2021/11/16,AN111009,-1.0
Sales of 2021/11/16,24171118,-1.0
Sales of 2021/11/16,AN101190,-10.0
Sales of 2021/11/15,DD111018,10.0
Sales of 2021/11/15,39171619,10.0
Sales of 2021/11/15,AN101166,5.0
Sales of 2021/11/15,AN101012,1.0
Sales of 2021/11/15,AA101210,7.0
Sales of 2021/11/15,AA101472,6.0
Sales of 2021/11/15,AA101077,1.0
Sales of 2021/11/15,36DU4017,-1.0
Sales of 2021/11/15,AA121006,-1.0
Sales of 2021/11/12,56DU0423,-4.0
Sales of 2021/11/12,31151060,-1.0
Sales of 2021/11/12,DD201025,-1.0
Sales of 2021/11/12,36AA4025,-4.0
Sales of 2021/11/12,AB151095,-5.0
Sales of 2021/11/12,DH171013,-5.0
Sales of 2021/11/12,36AA4050,-5.0
Sales of 2021/11/12,AA101692,-5.0
Sales of 2021/11/12,AM191005,-1.0
Sales of 2021/11/12,(YL)-AA121135,-1.0
Sales of 2021/11/12,24171180,1.0
Sales of 2021/11/12,DS121113,1.0
Sales of 2021/11/12,DK151094,1.0
Sales of 2021/11/12,16007,2.0
Sales of 2021/11/12,39200811,5.0
Sales of 2021/11/12,BA132110,50.0
Sales of 2021/11/12,DL191013,1.0
Sales of 2021/11/12,24151175,1.0
Sales of 2021/11/12,24151179,1.0
Sales of 2021/11/12,JZ231201,1.0
Sales of 2021/11/12,DU101041,1.0
Sales of 2021/11/13,24191137,1.0
Sales of 2021/11/13,DX101051,1.0
Sales of 2021/11/13,DH201080,1.0
Sales of 2021/11/13,36AA4018,1.0
Sales of 2021/11/13,DU201010,1.0
Sales of 2021/11/13,DZ151012,1.0
Sales of 2021/11/13,24130209,-1.0
Sales of 2021/11/13,AA101715,-1.0
Sales of 2021/11/13,24171024,-1.0
Sales of 2021/11/13,24151171,-3.0
Sales of 2021/11/13,AN101421,-1.0
Sales of 2021/11/13,31111056,-1.0
Sales of 2021/11/13,36DH4025,-1.0
Sales of 2021/11/13,DH101096,-1.0
Sales of 2021/11/13,DS121137,-1.0
Sales of 2021/11/13,DS101036,-1.0
Sales of 2021/11/13,36DS1004,-1.0
Sales of 2021/11/13,DJ101216,-1.0
Sales of 2021/11/13,DG111008,-2.0
Sales of 2021/11/13,DD121013,-1.0
Sales of 2021/11/13,DJ101096,-1.0
Sales of 2021/11/13,DH101680,-1.0
Sales of 2021/11/13,DJ201183,-1.0
Sales of 2021/11/13,39104119,-1.0
Sales of 2021/11/13,36PA0042,-1.0
Sales of 2021/11/13,52DU0578,-2.0
Sales of 2021/11/13,36BA4009K,-1.0
Sales of 2021/11/13,AF201036,-1.0
Sales of 2021/11/20,01100342K,2.0
Sales of 2021/11/20,DH111034,1.0
Sales of 2021/11/20,24130209,1.0
Sales of 2021/11/20,JZ161202,1.0
Sales of 2021/11/20,AB151095,2.0
Sales of 2021/11/20,39171519,20.0
Sales of 2021/11/20,AB101067,1.0
Sales of 2021/11/20,JN122000,-2.0
Sales of 2021/11/20,DX121010,-5.0
Sales of 2021/11/20,31121029,-5.0
Sales of 2021/11/20,36DS1201,-2.0
Sales of 2021/11/20,PD531029,-2.0
Sales of 2021/11/20,36JZ0008,-3.0
Sales of 2021/11/20,36DH4007,-3.0
Sales of 2021/11/20,PD511229,-2.0
Sales of 2021/11/20,AA121150,-1.0
Sales of 2021/11/20,36AA4105,-2.0
Sales of 2021/11/20,JN181001,-3.0
Sales of 2021/11/20,DH102272,-3.0
Sales of 2021/11/20,DJ161227,-1.0
Sales of 2021/11/20,DJ161229,-1.0
Sales of 2021/11/20,52DH1335,-1.0
