name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
,,,AA121336,__export__.product_product_39249_6b5e9159,stock.stock_location_stock,17.0
,,,BGO10W30C,__export__.product_product_49756_ebe52581,stock.stock_location_stock,24.0
,,,AN101104,__export__.product_product_47138_a96f8065,stock.stock_location_stock,41.0
PRIBDM2021113010483,2021-12-08,True,24151171,__export__.product_product_38108_adc8cd62,stock.stock_location_stock,22.0
,,,30151105,__export__.product_product_11238_926c2a15,stock.stock_location_stock,158.0
,,,31151060,__export__.product_product_11385_a84e059b,stock.stock_location_stock,102.0
,,,36314001K,__export__.product_product_11464_669bfc40,stock.stock_location_stock,21.0
,,,36AA1004,__export__.product_product_38444_a08a3fc7,stock.stock_location_stock,112.0
PRIBDM2021113010550,2021-12-08,True,SVA0013,__export__.product_product_47881_a00bdbc4,stock.stock_location_stock,35.0
PRIBDM2021113010553,2021-12-08,True,CMUAA191026,__export__.product_product_50220_8becc1a5,stock.stock_location_stock,241.0
PRIRSQ2021112908189,2021-12-08,True,36DU4026,__export__.product_product_11783_134df709,stock.stock_location_stock,30.0
,,,AA171027,__export__.product_product_39350_62053a55,stock.stock_location_stock,1.0
,,,AA191091,__export__.product_product_39387_8a9eb5aa,stock.stock_location_stock,27.0
,,,DK201051,__export__.product_product_16265_7e1d7285,stock.stock_location_stock,7.0
,,,DS191001,__export__.product_product_16879_3fbaa4e6,stock.stock_location_stock,10.0
,,,DU201010,__export__.product_product_17460_8ed1dc65,stock.stock_location_stock,33.0

