STR_PART_CODE,STR_DESC,INT_QTY,INT_TOTAL_COST,INT_AVG_UNIT_COST
JW561000,DRUM COMP. GEAR SHIFT,1,1543.8,1543.8
JW591028,TRUSS SCREW M5X0.8,10,996,99.6
JZ551210,BUSH 2ND DRIVEN,6,1643.4,273.9
JZ571000,ASSEMBLY OIL PUMP,7,6332.9,904.7
JZ581210,SLEEVE CARBURETOR,9,2539.8,282.2
JZ581216,SPRING PV VM22 DISCO-H,5,996,199.2
AA121128,ASSY COMPLETE INTEGRAL DUCT,3,5403.3,1801.1
36DK0076,KIT STARTER CLUTCH ASSEMBLY DK101595,11,47476,4316
36DK0077,KIT FOR STARTER CLUTCH( SPRING  DK101595),3,199.2,66.4
36DH4032,KIT STARTER CLUTCH ASSLY DH101782,16,60955.2,3809.7
JD161001,BRAKE PEDAL,7,12317.2,1759.6
JD161002,SPRING BRAKE PEDAL,4,332,83
JD161003,ROD BRAKE,5,1660,332
JD161200,THROTTLE CABLE ASSY,34,25115.8,738.7
JD161201,CABLE CLUTCH,21,17430,830
JD181221,BRACKET SPEEDO FLAP MTG,3,348.6,116.2
JD181401,BRACE FENDER,1,863.2,863.2
JD181402,FLAP FRONT FENDER,2,531.2,265.6
JB581003,DUCT AIR FILTER (PL_UP),2,747,373.5
JK113005,STAY MAIN STEP FIX,1,2307.4,2307.4
24151061,LEVER ASSEMBLY - HAND BRAKE CONTROL,5,5395,1079
36314002,KIT BALL STEEL STEERING,148,15969.2,107.9
36DK0072,KIT PLATE FRICTION PLSR UG3-3 (DK101149),14,40437.6,2888.4
39215320,BEARING - NEEDLE ROLLER :- 3 X 38 X 18,5,5063,1012.6
59040005,BOLT WITH WASHER M16X28L,2,1178.6,589.3
59210006,RING O,15,1494,99.6
JA351609,NEGATIVE BRUSH HOLDER ASSEMBLY,41,8730.8,213
DX121007,CATRIDGE AIR FILTER ASSLY,13,9657,743
36DK0013,KIT HARDWARE PILLION SUP,12,1593.6,132.8
JD561411,ASSEMBLY LEVER CHANGE ARM,14,6739.6,481.4
JD561413,TIE ROD,10,1162,116.2
JD561414,ASSEMBLY LEVER COMPLETE CHANGE,4,3585.6,896.4
JD561418,BOOT - CHANGE LEVER,1,91.3,91.3
JD72024M,PNTD FRONT FENDER WITH FLAP - MID BLK,4,17762,4440.5
AA101667,STICK DIP -CLUTCH COVER,23,3245.3,141.1
36JN0015,KIT CHAIN SPROCKET DIS 135 (NEW),105,476710.5,4540.1
AP121124,T SEAL AIR FILTER,11,3925.9,356.9
AP121126,HOLDER ELEMENT B,9,1120.5,124.5
AP121132,ELEMENT AIRFILTER(TWIN),40,16268,406.7
36DH4011,KIT KIT HARDWARE SHIELD PUL-150 UG4,24,6919.5,288
36DH4020,KIT HARDWARE FAIRING MOUNTING PUL-UG4,10,3984,398.4
36DK0009,KIT HARDWARE SILENCER,5,1660,332
36DK0036,KIT CHAIN SPROCKET KIT PULSAR 180 UG4,6,40176,6696
36JC0006,KIT KIT HARDWARE ROD BRAKE PULSAR 180UG4,2,448.2,224.1
52DJ0363,TANK FLAP ASSY LH K2 UG4 MIDNIGHT BLACK,2,3519.2,1759.6
52DJ0364,TANK FLAP ASSY RH K2 UG4 MIDNIGHT BLACK,5,9047,1809.4
JC101114,ASSLY GEAR STARTER CLUTCH (55T),2,5976,2988
36JE0003,KIT CHAIN GUIDE SPRINT,130,65819,506.3
36JE0005,KIT CLUTCH PLATE SPRINT,30,107167.5,3572
