STR_PART_CODE,STR_DESC,INT_QTY,INT_TOTAL_COST,INT_AVG_UNIT_COST
JZ551412,SPRING CLUTCH  FCC DISCO-H,25,2282.5,91.3
24191131,CABLE ASSY COMP CLUTCH FIX END,1,1593.6,1593.6
24201415,CABIN LIGHT ASSY/LAMP,7,7785.4,1112.2
AA101622,GASKET -TENSIONER ASSY,80,3320,41.5
AA111107,DIGITAL CDI WITH STARTER INTERLOCK,0,0,3560.7
AA201219,HARNESS WIRING (FRONT),1,8822.9,8822.9
36DH4014,KIT KIT HARDWARE ROD BRAKE PUL-150 UG4,30,3486,116.2
36DH4015,KIT KIT HARDWARE ROD TORQUE PUL-150 UG4,10,581,58.1
36DK0011,KIT HARDWARE ENG.MOUNTINGS,2,1460.8,730.4
36DK0012,KIT BUSH RE.SHOCK,8,3120.8,390.1
36DK0016,KIT HARDWARE BRAKE PEDAL,7,522.9,74.7
52DH0531,COVER SIDE RH WITH MESH WINE RED,1,2108.2,2108.2
52DH0534,COVER SIDE LH WITH MESH MIDNIGHT BLACK,1,2672.6,2672.6
52DH0535,COVER SIDE RH WITH MESH MIDNIGHT BLACK,2,5361.8,2680.9
52DH0542,TANK FLAP ASSY RH UG4 C WINE RED,1,1610.2,1610.2
DH101864,BLOCK PISTON ASSLY-SPARES- K1 BLACK,44,415423,9441
DH111072,CDI,6,34760.4,5793.4
DH111077,H T COIL WITH CAP - LH,5,6059,1211.8
DH111078,H T COIL WITH CAP - RH,5,6515.5,1303.1
AA191073,CABLE COMPL ACCELERATOR,117,94726.8,810
AL161383,COVER WIPER MOTOR,10,2656,265.6
AN101012,GASKET - HEAD,50,31125,622.5
AZ161000,REVERSE LEVER,3,12499.8,4166.6
BG131802,CABLE ASSY HAND BRAKE FRONT,35,33117,946.2
JW131806,DISC BRAKE,2,12865,6432.5
JN232801,BKT NUMBER PLATE,4,697.2,174.3
JZ113015,HOLDER LH STEP,1,1145.4,1145.4
JZ113017,HOLDER RH STEP,0,0,1402.7
36JW0009,KITCHAIN GUIDE XCD 135 CC,11,5751.9,522.9
36JW0013,KIT LEG GUARD  HARDWARE XCD 135 CC,20,2988,149.4
36JW0014,KIT STARTER CLUTCH REPAIR XCD 135 CC,2,1012.6,506.3
DJ191034,RESERVOIR CAP,1,207.5,207.5
DJ201183,SENSOR SPEED (MORE LENGTH),31,32677.1,1054.1
JB161204,CABLE ACCELERATOR,0,0,489.7
DK161228,DECAL PULSAR DTS-I MID BLACK,2,332,166
DK191012,LEVER BRAKE,5,5934.5,1186.9
DK201043,BULB- H7 CATEGORY 12V 55W(WHITE OUTPUT),2,4150,2075
DK201098,SPEED SENSOR,4,5345.2,1336.3
AA231117,DOOR ASSLY. SIDE FILLING,3,597.6,199.2
36JZ0025,KIT ASSLY CL COVER - DISCO 125,1,5444.8,5444.8
JN131807,BRAKE DISC,6,33615,5602.5
JZ73035A,COWL SEAT BLACK + BLUE DIS 150,1,5112.8,5112.8
AA201239,HORN DC 12V WITH TRANSIL DIODE,25,23240,929.6
JC141017,GROMMET II TANK COVER,10,290.5,29.05
JD122002,SHAFT SWING ARM,5,2946.5,589.3
JC181024,LAMP SHADE ASSY,2,4830.6,2415.3
JC191004,CABLE CLUTCH,4,3652,913
36224004,KIT BUSH INNER RACE- NEW,110,86735,788.5
36AA4020,KIT CHAIN TENSIONER SPRING O RING TYPE,60,71214,1186.9
JB571005,ASSEMBLY OIL PUMP D100 UG,7,5868.1,838.3
DK121048,SET ADJUSTER,1,199.2,199.2
24141149,FUEL TANK (side filling),7,36603,5229
36AF0008,KIT IDILING ADJUSTER KIT,30,5727,190.9
36AF0009,KIT AIR SCREW KIT,30,7719,257.3
36AF0013,KIT STARTER CABLE GUIDE ASSY KIT,3,4233,1411
36DK0050,KIT STARTER MOTOR REPAIR P200/220/A200,1,1120.5,1120.5
DK101733,ASSEMBLY LEVER SHAFT,20,31872,1593.6
AN131039,SEAL RUBBER,520,16640,32
52PA0522,COWLING EL. BLUE WH DECAL (D105 C),3,10756.8,3585.6
36PA0157,KIT CHAIN CASE ASSLY - D125M,1,2324,2324
56PA056D,PAINTED_PART FRONT FENDER D125M CHARCOAL,11,47293.4,4299.4
36PA0122,KIT CHAIN CASE UPPER + LOWER D105A,2,6640,3320
36PA0152,Kit chain sprocket - D100M,2,10242.2,5121.1
36PA0123,KIT CHAIN SPROCKET-D105A,20,85901,4295
AA101843,SEAT -SPRING VALVE,20,2158,107.9
AN101140,SPRING ENGINE VALVE,30,5280,176
AA141088,"Grommet Baffle
",1,149.4,149.4
AA121214,ADJUSTER FOR IDLING,9,1792.8,199.2
AA121215,ADJUSTER VCS,7,1917.3,273.9
36DJ4048,KIT TANK DCL S BLUE-K1/K2,2,1543.8,771.9
AN101423,BRACKET FOR OILCOOLER FL,10,830,83
AA141079,"BAFFLE FUEL SPILLAGE
",9,3062.7,340.3
36AA4032,KIT_CONNECTING ROD 4S FL,57,206458.2,3622
PA131850,BRAKE ROD D105C,6,1693.2,282.2
52DU0555,SWING ARM(DU171018) WITH BUSH,5,31042,6208.4
PF181239,BRACKET FORK SIDE,15,1992,132.8
PF511203,SPROCKET CAM B104D,3,846.6,282.2
PF581044,FOAM ELEMENT B104D,2,1079,539.5
PF161007,GRIP ASSY RH,12,5976,498
PF131236,SLEEVE COUPLING,3,1369.5,456.5
PF161220,CABLE BRAKE,6,4432.2,738.7
PF161015,LEVER CLUTCH,13,7984.6,614.2
PA75045W,SEAT COWL ASSLY PNTD D105A BLK CERU.BLUE,1,6200.1,6200.1
52PA0560,SEAT COWLING PLATINUM SILVER WITH DECAL,1,2697.5,2697.5
52PA0532,SEAT COWL CHA BLK WH DEC (MGN SIL)D105 C,4,30909.2,7727.3
52PA0520,SEAT COWL EL. BLUE WH DECAL (D105 C),1,3419.6,3419.6
PA131021,WHEEL FRONT 1.4X17-DI,3,46612.8,15537.6
BH402600,TANK UNIT,8,7768.8,971.1
AA201272,ASSEMBLY INDICATOR,2,5478,2739
36JL0039,KIT WATER PUMP ROTOR & SEAL,7,13827.8,1975.4
KAED0620,BOLT-FLANGE-KAE ST-D DIA-06 L-20,50,415,8.3
52JL0158,STEP ASSLY.MAIN LH MTL COLOUR,2,1693.2,846.6
JL561408,BOOT -CHANGE LEVER,8,630.8,78.85
36DH4041,KIT PLATE FRICTION DIS 135,169,298893.8,1769
PF511209,ASSEMBLY CAMSHAFT B104D,3,7368,2456
JE511240,SPRING VALVE D106A,4,564.4,141.1
PF181238,BRACKET FAIRING LOWER PIVOT,1,199.2,199.2
JH561200,INHIBITOR GEARSHIFT C101,4,730.4,182.6
PF161219,CABLE CLUTCH - (ALT PF161212),6,4083.6,680.6
PF621003,KICK SHAFT B104D,5,3859.5,771.9
PF121079,BRACKET HOLDER FORK UPPER,2,1842.6,921.3
PF181218,CHAIN CASE LOWER,1,954.5,954.5
PA231211,LEG GUARD,13,23738,1826
PF402000,REGULATOR RECTIFIER UNIT,4,9063.6,2265.9
PF121057,OUTER PIPE LH,1,3901,3901
PF351206,CDI B104D,2,9152,4576
PF351601,STARTER MOTOR B104D,2,12433.4,6216.7
52AA0149,"CAM COVER S/A WITH CAM COVER (28101129)
",3,1718.1,572.7
36AN0016,KIT RING PISTON RE4S CHROME PLTD (EXP),16,23800,1487.5
DK151095,FRONT AXLE,3,2041.8,680.6
DK181087,FORK ASSY FRONT,1,17911.4,17911.4
DV181016,"LOCK SET 5 IN 1- 110 SERIES COUPLER
",1,3851.2,3851.2
52DH0812,K1 FLAP RH  BLACK WITH SAFFIRE BLUE DECA,1,1560.4,1560.4
52DH0816,K1 FLAP RH BLACK WITH WINE RED DECAL,1,1709.8,1709.8
52DH0811,K1 FLAP LH  BLACK WITH SAFFIRE BLUE DECA,2,3187.2,1593.6
JL541227,WINDOW OIL GUAGE,6,1543.8,257.3
52DU0575,COWLING WITH DECAL - BLACK RED,32,98006.4,3062.7
52DU0577,COWLING WITH DECAL - ELECTRON BLUE,3,10980.9,3660.3
52DU0578,COWLING WITH DECAL - BLACK BLUE,14,43342.6,3095.9
EC401030,HEAD LAMP BULB 60/55W (H4),26,20716.8,796.8
52DU0583,SIDE COVER LH WITH DECAL - BLACK RED,4,12151.2,3037.8
52DU0586,SIDE COVER LH WITH DECAL - BLACK BLUE,9,25547.4,2838.6
52DU0587,SIDE COVER RH WITH DECAL - BLACK RED,3,9213,3071
52DJ0566,FAIRING K1 E BLACK,5,27348.5,5469.7
52DJ0519,FAIRING BLACK WITH WINE RED DECAL,13,50928.8,3917.6
AA101838,GASKET -MANIFOLD,15,5104.5,340.3
AA121208,CARBURETTOR ASSY.- FL EXPORT,5,43201.5,8640.3
52DH0879,TANK F ASSLY LH BLACK DECAL,4,11586.8,2896.7
52DH0880,TANK F ASSLY RH BLACK DECAL,4,11420.8,2855.2
PF181236,BRACKET FAIRING UPPER PIVOT,6,5776.8,962.8
PF113013,STAY-MAIN STEP ASSY RH,18,21812.4,1211.8
PF401417,SWITCH CONTROL RH (SS),3,3336.6,1112.2
PF113012,STAY MAIN STEP ASSY LH,5,7677.5,1535.5
52PF0317,SIDE CVR LH S/A EBONY BLK(PLATINA B104D),1,805.1,805.1
AN101258,SPARK PLUG CAP,26,3668.6,141.1
36AA4025,CLUTCH PLATE SET-RE 4S,163,347887.2,2134
PA113022,ASSEMBLY STEP MAIN LH COMP,6,10308.6,1718.1
36AA4007,"KIT SPRING DAMPER CLUTCH HOUSING RE4S
",14,3369.8,240.7
PA231206,LEG GUARD,15,29755.5,1983.7
PA561005,ASSEMBLY DRUM GEAR SHIFT -D105,1,1485.7,1485.7
36JZ0102,Valve Kit,106,153965,1452.5
YPA13003,TAIL LAMP W/O BULB-D100M,2,3486,1743
PA113207,STAND CENTER,1,2108.2,2108.2
PA151020,HANDLE BAR,10,29714,2971.4
JL601237,THERMOSTAT,3,3660.3,1220.1
PF541237,ASSEMBLY MAGNETO COVER B104D,1,2722.4,2722.4
PF232603,LOCK KIT,7,21206.5,3029.5
PF122012,SHOCKABSORBER REAR,10,49634,4963.4
52PF0329,FAIRING EBONY BLK WH DEC(PLATINA B104D),10,36686,3668.6
52PF0328,FAIRING EL BLUE WH DEC(PLATINA B104D),3,13595.4,4531.8
52PF0334,FRONT FENDER EL BLUE WITH BR(PL B104D),2,11288,5644
52PF0333,FRONT FENDER CANDY RED WITH BR(PL B104D),4,21380.8,5345.2
JZ231225,LEG GUARD,2,3303.4,1651.7
JE511239,ASSEMBLY CAMSHAFT D106A,3,8266.8,2755.6
36JZ0121,KIT FRICTION PLATE-D106A,15,75447,5029.8
JZ351208,CDI DC UNIT D106A,2,10441.4,5220.7
36JZ0131,KIT CHAIN SPROCKET,3,20791.5,6930.5
PA74053C,COWLING FAIRING B/R DECAL,3,4457.1,1485.7
PA74055W,COWLING (FAIRING) D105A BLK CERU.BLUE DE,4,5942.8,1485.7
52PA0529,S COVER LH CH BLK WH DEC (GR. SIL)D105 C,2,6391,3195.5
KDCB0816,WASHER SPRING,50,622.5,12.45
52PA0536,COWLING CHA BLK WH DEC (MGN SIL)D105 C,16,58697.6,3668.6
AA101753,GROMMET AIR FILTER,4,4116.8,1029.2
JN181211,CLIP NUT - M6,5,124.5,24.9
PA161004,SPRING REAR BRAKE SWITCH,30,996,33.2
52PF0325,SEAT CWL S/A EL BLUE WH DEC(PL B104D),1,3054.4,3054.4
PA131204,WHEEL 1.6X17-110 DR BLACK,1,15952.6,15952.6
KBRA4216,SCREW TAPPING PAN CROSS,20,249,12.45
52DJ0562,COVER SIDE LH WITH MESH EBONY BLACK,2,4349.2,2174.6
56DK45X3,SEAT COWL K1/K2/K3 EBONY BLACK CLIP NUT,1,4880.4,4880.4
JE541038,DAMPER CRANKSHAFT D106A,3,1593.6,531.2
JZ181361,ASSEMBLY SPEEDO FLAP,2,1045.8,522.9
52PA0537,COWLING CHA BLK WH DEC (GR SIL)D105 C,1,3419.6,3419.6
YPA13014,LOCK SET FOR DISCOVER 100M DC SYSTEM,3,9760.8,3253.6
JF402000,REGULATOR ASSEMBLY,15,45940.5,3062.7
PA72043B,Front Fender painted black D105A,1,3867.8,3867.8
JD402217,BAND (L150),1,16.6,16.6
PA122021,CHAIN ADJUSTER PLATE,3,174.3,58.1
DZ101075,CAMSHAFT ASSEMBLY,15,40587,2705.8
GF101139,GROMMET,0,0,49.8
36314006,GASKET KIT 4S,10,10790,1079
36JZ0083,KIT STEERING CONE - DISCOVER 125 ST,2,3585.6,1792.8
JE581231,ASSEMBLY CARBURETOR BS26  D102C,1,14807.2,14807.2
JZ131217,AXLE REAR,3,2390.4,796.8
36AN0013,VALVE KIT 3W RE-205,40,62181,1555
KPBB6007,BEARING BALL C3,44,39441.6,896.4
AA101692,COVER FAN,105,108187.5,1030
36PF0027,KIT Cyl Block Piston Assly. (BM100 EXP),1,4880.4,4880.4
DH181103,HANDLE HOLDER LH (BLACK),14,29979.6,2141.4
DH181104,HANDLE HOLDER RH (BLACK),7,17045.6,2435
DK181086,HANDLE BAR TUBE ASSY RH,15,17679,1178.6
JZ131014,WHEEL FRONT 1.4X17 DISC,1,12491.5,12491.5
36JD0021,KIT CYL BLOCK PISTON ASSY ( AL) XCD 125 (JA521014),12,112266,9356
DK101748,SHAFT ROCKER ARM INTAKE,6,747,124.5
DK101751,SHAFT ROCKER ARM EXHAUST,15,1743,116.2
DK101755,ROCKER ARM ASSY.,24,34776,1449
JZ151061,OUTER TUBE LH,3,13172.1,4390.7
AA101577,MANIFOLD-INLET,5,4316,863.2
AA201256,SWITCH CONTROL RH,14,14176.4,1012.6
AN101182,BOLT SOCKET,19,2523.2,132.8
24181153,LOCK SET,3,12798.6,4266.2
AA201263,ASSEMBLY WIPER MOTOR BIG FL,5,32785,6557
AA171025,ASSEMBLY STEERING COLUMN,7,131712.7,18816.1
24151097,KIT: MAJOR :- TMC,75,85282.5,1137.1
59200028,BALANCER RH BEARING 6204N (20*47*14),5,3942.5,788.5
PA161202,CABLE ACCELERATOR,2,1344.6,672.3
JZ131012,WHEEL ALLOY 1.4X17-DISC-134PCD,1,14798.9,14798.9
24151098,KIT: MINOR :- TMC,55,36063.5,655.7
AZ161212,CABLE REVERSE COMPLETE FL,10,9711,971.1
AN131007,CAP - OIL FILLING,41,4083.6,99.6
AN111013,STATOR ASSEMBLY(200CC),8,36652.8,4581.6
AN101431,VALVE EXHAUST,8,5843.2,730.4
JZ131206,WHEEL (2.15X17-130 DR 5 SP)BLACK,1,15363.3,15363.3
JZ161019,PAD BRAKE PEDAL,3,348.6,116.2
PA401009,TAIL LAMP ASSLY W/O LAMP,3,7743.9,2581.3
52DH0695,COVER LHRR MOONLIGHT K1,1,3286.8,3286.8
DJ141056,FUEL COCK (EXPORT MARKET),0,0,1012.6
DZ201044,SWITCH CONTROL RH (KS),2,1560.4,780.2
JE351005,STATOR ASSLY - 12 POLE  D102C,3,15363.3,5121.1
AA191084,CABLE REVERSE COMPLETE,5,5768.5,1153.7
DH201085,WIRING HARNESS (SS) P-150,1,9727.6,9727.6
36JE0024,KIT FRICTION - D102B&C,15,25647,1709.8
52DH0767,KIT LEG GUARD (PULSAR 150),20,41334,2066.7
AZ621019,ASSEMBLY STARTING HANDLE,2,4133.4,2066.7
AN101376,SPRING TORSION CLUTCH LEVER,105,2614.5,24.9
AN101375,SHAFT CLUTCH RELEASE,21,12026.7,572.7
36PF0028,KIT Piston Ring Set (BM100) EXP,1,522.9,522.9
JD113035,HOLDER STEP LH,5,26145,5229
JD151051,HOLDER HANDLE LH - BLACK,2,5793.4,2896.7
JD151052,HOLDER HANDLE RH - BLACK,2,2622.8,1311.4
JD231408,GRAB HANDLE LH WITH FOAM(BLACK),2,2822,1411
JD74025L,TANK SPOILER RH P RED WTH DUL DEC SCH,1,1045.8,1045.8
AN101338,IDLER GEAR,19,67495.6,3552.4
AN101181,SLEEVE SPARK PLUG,15,8040,536
AN101202,FAN BASE,10,4565,456.5
AN101232,"PIPE COMPLETE, BANJO",1,547.8,547.8
AN101300,ASSEMBLY SECTOR COMP REV CONTROL,24,32868,1369.5
AA201265,HARNESS REAR RE205 D,2,20268.6,10134.3
AA231223,COVER WIPER MOTOR FL,10,2573,257.3
AA101736,SECTOR ASSY COMP.WITH LEVER,26,28269.8,1087.3
AA181028,LOCK SET,1,3768.2,3768.2
DJ191083,LEVER GRIP LEFT,24,12748.8,531.2
JD151045,HANDLE BAR TUBE ASSY LH,7,7785.4,1112.2
JD151048,HANDLE BAR TUBE ASSY RH,13,14782.3,1137.1
JD402219,HARNESS WIRING REAR,1,5801.7,5801.7
52JL0141,ASSEMBLY-DISC FRONT JL KHI (BLACK),0,0,7353.8
JG571016,O-RING,10,498,49.8
AA101735,CRANKCASE MAGNETO SIDE-205FL,5,88395,17679
AA161218,"TRIM UPPER SMALL LH
",2,1377.8,688.9
36DH4044,KIT COVER CLUTCH SLV P150,1,7602.8,7602.8
52DH0682,FAIRING C W RED COLORED WITH  RED DECAL,2,8964,4482
52JL0193,SIDE MASK LH P RED WITH DECAL NEW SCHEME,5,6432.5,1286.5
52JL0194,SIDE MASK RH P RED WITH DECAL NEW SCHEME,3,4855.5,1618.5
DH161405,HOLDER STEP RH,7,31490.2,4498.6
PA131208,COUPLING,11,19446.9,1767.9
24231625,BRACKET WIPER MOTOR MOUNTING,6,1643.4,273.9
24151247,BRACKET BRAKE HOSE MOUNTING,13,863.2,66.4
PF181209,WINDSHIELD,3,3212.1,1070.7
36JZ0074,KIT BLOCK & PISTON-D125 MX,14,137200,9800
JE511200,VALVE INTAKE P-145,10,7221,722.1
JE591002,GASKET EXHAUST,27,5378.4,199.2
JZ161207,CABLE ACCELERATOR,49,31722.6,647.4
JZ161208,CABLE CLUTCH,6,6723,1120.5
JZ401043,HEAD LAMP W/O BULB,1,8001.2,8001.2
JZ581032,ELEMENT AIR FITLER (D02 A),11,18351.3,1668.3
JG541230,CAP OIL FILLING,4,365.2,91.3
PF161201,CABLE THROTTLE,3,2091.6,697.2
PF161202,CABLE BRAKE,1,846.6,846.6
PF231405,GRIP FRAME (EXPORT),1,3656.15,3656.15
36DH4030,KIT CHAIN GUIDE PULSAR-150,34,23283.5,685
BH184000,GLASS GREEN WINDSHLD ONE PIECE FL,30,455670,15189
36DH4008,KIT BODY COMP STARTER CLUTCH,4,19986.4,4996.6
JL131878,BRACKET -RESERVOIR CAP,5,124.5,24.9
AL161502,TOOL BOX LID LEFT SIDE (PLASTIC),3,1220.1,406.7
AA101722,FLANGE DIFF. GEAR SIDE,3,7295.7,2431.9
24111128,CDI WITH DAMPER(NEW),6,8764.8,1460.8
52JL0197,SIDE MASK LH M WHITE WITH DECAL NEW SCHE,3,4457.1,1485.7
52JL0198,SIDE MASK RH M WHITE WITH DECAL NEW SCHE,2,3120.8,1560.4
BH131804,HOSE BRAKE FRONT FL,2,4930.2,2465.1
24121695,ASSEMBLY FUEL COCK FL,4,2954.8,738.7
BB191025,GEAR CONTROL TUBE,1,614.2,614.2
36JZ0081,KIT CHAIN GUIDE-D125 MX,14,7785.4,556.1
36JL0023,KIT GASKET/O-RING-P200,2,879.8,439.9
JL181407,COVER 1-HUGGER REAR,2,99.6,49.8
LAJ00001,"BOLT-STUD M6, PRE COATED",10,415,41.5
LAD00035,"BOLT FLANGE M6X1-40L, PRE COATED",30,747,24.9
BH401004,"NUMBER PLATE LIGHT WITH LAMP
",2,315.4,157.7
AZ161213,KNOB CHOKE,5,290.5,58.1
AN101336,DIFFERENTIAL GEAR,3,18799.5,6266.5
AN101334,BRACKET SUPPORT-OIL TUBE,25,2490,99.6
DJ201246,SWITCH CLUTCH VB -TRANSIL DIODE,1,630.8,630.8
PF351006,STATOR ASSLY BM100 / DISCOVER 100 4G (ALT - JB351025),2,9329.2,4664.6
JD73015R,PNTD COWLING LH (JD181208) BR. BLUE,3,3809.7,1269.9
JD73025R,PNTD COWLING RH (JD181209) BR. BLUE,2,1411,705.5
AA141082,SLEEVE FILTER TO CARBURETOR,5,124.5,24.9
AA111148,GROMMET SPARK PLUG,13,971.1,74.7
AA111157,CAP SPARK PLUG LH SOLID POST,70,24402,348.6
AA141115,ASSEMBLY FUEL CAP WITH HANDLE,13,7660.9,589.3
AA141095,ASSEMBLY WELDED FUEL TANK,2,13778,6889
AA111156,ASSEMBLY CDI MULTI MAP -GASOLINE,27,129978,4814
AA201329,HARNESS WIRING REAR EXPORT,1,9586.5,9586.5
22131014,SPACER WASHER,1,107.9,107.9
JF131206,WHEEL REAR 2.15X17(K11),1,17322.1,17322.1
JF151031,TUBE OUTER LH  (K11),2,11055.6,5527.8
JF151032,TUBE OUTER RH  (K11),2,10873,5436.5
JF161201,CABLE CLUTCH (K11),15,13570.5,904.7
JF231202,GUARD LEG RH,9,8142.3,904.7
JF402400,SPEEDOMETER ASSY,2,42081,21040.5
JL161011,LEVER & SUPPORT HOLDER ASSY LH,2,3784.8,1892.4
JL181426,WINDSHIELD (K16),3,8615.4,2871.8
JL231204,LADIES FOOTREST,2,3668.6,1834.3
DE191010,WASHER - COPPER [ KBX ],25,830,33.2
AF111023,ASSEMBLY BRACKET FIXING,2,2772.2,1386.1
JL401409,CONTROL SWITCH  LH (K16),1,3336.6,3336.6
JL401410,CONTROL SWITCH  RH (K16),1,2929.9,2929.9
DT551402,PLATE CLUTCH PRESSURE,2,2025.2,1012.6
DT561201,ASSY LEVER COMP CHANGE (BALL JOINT),1,2365.5,2365.5
24151258,CYLINDER COMPLETE TANDEM MSTR FL,0,0,5137.7
52DH0686,COVER LH ASSLY COMP MOONLIGHT K1 K2 K3S,1,4282.8,4282.8
JG161008,CLUTCH LEVER,5,3320,664
JY551402,CLUTCH ONE WAY ASSLY,9,57593.7,6399.3
JA581236,AIR SCREW(AS),26,863.2,33.2
52JZ0939,ST.CWL ASSLY EB.BLACK WH RED DEC(D125),4,22244,5561
DJ191081,"HOLDER LH
",20,14608,730.4
YPF08008,SPEEDOMETER TOP COVER WITH SEALING RING-,3,3610.5,1203.5
JF113009,STEP ASSY RH (K11),5,3859.5,771.9
DH101098,PLATE CLUTCH,147,38574,262
31201028,"BULB 12V, 5/10W",1,149.4,149.4
PA161012,BRAKE LEVER,6,6474,1079
JZ351001,ROTOR ASSLY DISCO-125,1,5287.1,5287.1
JZ121059,LEG OUTER LH,1,4183.2,4183.2
JE571007,"ELEMENT OIL FILTER K11
",26,11389.7,438
JE541241,"GASKET CLUTCH COVER K11
",21,5520,263
JE511208,VALVE INTAKE -K11,13,8524.1,655.7
DT151010,"HANDLEBAR TUBE ASSY LH
",1,1269.9,1269.9
36JF0009,KIT S COWL DCL M W,4,2490,622.5
36JF0027,"CRANKCASE LH K11
",1,6225,6225
39154905,STUD,70,2324,33.2
JF151033,INNER TUBE,4,20783.2,5195.8
AA101952,"ASSEMBLY  HOT AIR DEFLECTOR
",16,21157.4,1322
DT161203,"CLUTCH CABLE (K8)
",2,2108.2,1054.1
DT161204,"THROTTLE  CABLE (K8)
",4,2855.2,713.8
52JZ0947,SD.COVR LH ASLY EB.BLK WH RED DEC(D125),2,5179.2,2589.6
52JZ0926,COWLING ASSLY EB.BLACK WH BLUE DEC(D125),10,39674,3967.4
52JZ0927,COWLING ASSLY EB.BLACK WH RED DEC(D125),12,48405.6,4033.8
52JZ0929,COWLING ASSLY FL.RED WH RED DEC(D125),1,4183.2,4183.2
JF151019,"BRACKET UPPER(K11)
",1,4316,4316
JF131800,"DISC FRONT
DISC",1,6457.4,6457.4
24201525,GROMMET WIPER MOTOR BIG FL,10,249,24.9
JU531021,BUSH BIG END,1,360,360
DJ181033,WINDSHIELD,9,10009.8,1112.2
DJ191010,ROD-BRAKE,13,3560.7,273.9
AA102018,"ASSEMBLY SECTOR COMP.REV.CONTROL
",31,39624.2,1278.2
52PF0360,"SEAT COWL S/A EBONY BL. W. DECAL(PL100KS
",1,7063.3,7063.3
AA101593,CLUTCH COMPLETE,0,0,8208.7
AA191115,REVERSE CABLE COMPLTE FL,13,14998.1,1153.7
AA191117,SPRING TENSION REVERSE CONTROL,31,5146,166
AA201313,INDICATOR ASSEMBLY,5,19048.5,3809.7
AA201325,OIL PRESSURE SWITCH,11,12142.9,1103.9
AN101341,PINION PRIMARY,2,2871.8,1435.9
39079908,PIN COTTER,50,415,8.3
36DT0007,KIT CHAIN SPROCKET,1,9611.4,9611.4
DX151081,DRIVE CHAIN CONNECTING LINK,9,971.1,107.9
36AB4015,KIT BEARING CONE RE4S W/O GREASE NEW,40,102920,2573
AA101970,ASSEMBLY FAN COVER,18,23007.6,1278.2
AA151060,BRACKET EQUALIZER,5,1826,365.2
AA191116,LEVER REVERSE CONTROL,6,4830.6,805.1
DT131826,CALIPER ASSEMBLY,1,4963.4,4963.4
DT171814,INLINE FUEL FILTER (QUICK CONNECTOR),2,1224,612
JZ113204,STAND SIDE,3,1967.1,655.7
24201472,ASSEMBLY TAIL LIGHT LH REFL,9,22858.2,2539.8
JZ171809,FUEL COCK ASSLY,6,6723,1120.5
36JF0006,KIT CHAIN SPROCKET,26,155160.2,5967.7
36JF0026,KIT PISTON RING,3,3909.3,1303.1
36JF0031,KIT CYL COMP FORK-K11,8,5179.2,647.4
56JL144R,SIDE MASK LH PASSION RED,1,1992,1992
56JL155N,SIDE MASK RH SAFFIRE BLUE,2,1195.2,597.6
56JL15X3,SIDE MASK RH EBONY BLACK,2,2672.6,1336.3
JL561407,BOOT -CHANGE ARM,5,539.5,107.9
PA121036,FORK ASSEMBLY COMP DISC,1,21571.7,21571.7
DH161194,STOPPER - KICK,47,5716.5,122
JE511038,GASKET COVER CYLINDER HEAD K11,22,11968,544
JE511213,ASSEMBLY EX ROCKER ARM  -K11,7,12259.1,1751.3
JE511225,SHAFT ROCKER EXHAUST K11,7,929.6,132.8
JE551216,GEAR 4TH DRIVEN K11,3,2514.9,838.3
JE581014,ELEMENT AIRFILTER K11,10,10043,1004.3
YAAS7001,PICKUP COIL - FL,14,8134,581
24165309,ASSEMBLY TRAY BATTERY 32 AH,2,1593.6,796.8
01100823,BUSH FOR INNER PLATE,16,5710.4,356.9
PF121076,ASSEMBLY UNDER BRACKET COMP,12,45936,3828
PF581052,TUBE CONNECTING B104D_26X100,1,423.3,423.3
AA102003,ASSEMBLY CAMSHAFT,27,110257.2,4083.6
36JL0015,KIT PILLION HARDWARE-P200,5,498,99.6
DH161066,SPRING - SIDE STAND,49,4067,83
22180219,PLATE,10,747,74.7
24101050,GEAR SHIFTER,29,54638.9,1884.1
06101056,FLAT CROSS-3P,34,45716.4,1344.6
DH191008,GRIP HAND-RH,29,11072.2,381.8
24140115,O'RING - FUEL CAP,51,1269.9,24.9
24111099,CHARGING COIL,24,21912,913
PA551002,SHAFT INPUT D105,1,1328,1328
PF181214,"FLAP SPEEDOMETER
",13,5071.3,390.1
36PF0061,"KIT CAM CHAIN GUIDE
",12,6573.6,547.8
PF551411,"HUB CLUTCH B104D
",1,987.7,987.7
36PF0062,"KIT PISTON RING SET
",4,4780.8,1195.2
JF181402,BRACKET FENDER BRACE,2,2290.8,1145.4
28101118,BUSH,193,21924.8,114
JL131832,"BRAKE PAD SET
",2,2523.2,1261.6
36DS4020,KIT CHAIN CASE DISCOVER BLACK 125,0,0,3867.8
JD181211,SPEEDO FLAP,1,1145.4,1145.4
AA101844,SEAL HEAD COVER,65,29672.5,456.5
AN101239,RUBBER SLEEVE,13,1942.2,149.4
24141184,ASSEMBLY FUEL COCK FL,2,1444.2,722.1
52AA0501,DOOR REAR ASSY - ED (NEW),10,31374,3137.4
24121058,RING,1,12.45,12.45
JA511216,SPACER CAM SPROCKET,5,705.5,141.1
GF171004,SHOCKABSORBER - FRONT,0,0,2207.8
BB121035,GRILL AIR INTAKE,1,49.8,49.8
